藏品名称,藏品来源,年代,介绍,图片链接,详情链接
Album of Eight Landscapes 1,Gift of Dr. and Mrs. Melvin G. Goldzband,1822,"This is a Painting Folio, made of Ink and color on silk. Its accession number is 1976.136.1, and its dimensions are 7 9/16 x 4 13/16 in. (19 x 12 cm).",https://collection.sdmart.org/Media/Previews/1971-1980_Embark_Object_Photos/1976-136-a.png,https://collection.sdmart.org/objects-1/info?query=Creation_Place2%20has%20words%20%22china%22&sort=9&page=11&objectName=Album of Eight Landscapes 1
Album of Eight Landscapes 2,Gift of Dr. and Mrs. Melvin G. Goldzband,1822,"This is a Painting Folio, made of Ink and color on silk. Its accession number is 1976.136.2, and its dimensions are 7 9/16 x 4 3/4 in. (19 x 12 cm).",https://collection.sdmart.org/Media/Previews/1971-1980_Embark_Object_Photos/1976-136-b.png,https://collection.sdmart.org/objects-1/info?query=Creation_Place2%20has%20words%20%22china%22&sort=9&page=12&objectName=Album of Eight Landscapes 2
Album of Eight Landscapes 3,Gift of Dr. and Mrs. Melvin G. Goldzband,1822,"This is a Painting Folio, made of Ink and color on silk. Its accession number is 1976.136.3, and its dimensions are 7 5/8 x 4 13/16 in. (19 x 12 cm).",https://collection.sdmart.org/Media/Previews/1971-1980_Embark_Object_Photos/1976-136-c.png,https://collection.sdmart.org/objects-1/info?query=Creation_Place2%20has%20words%20%22china%22&sort=9&page=13&objectName=Album of Eight Landscapes 3
Album of Eight Landscapes 4,Gift of Dr. and Mrs. Melvin G. Goldzband,1822,"This is a Painting Folio, made of Ink and color on silk. Its accession number is 1976.136.4, and its dimensions are 7 5/8 x 4 13/16 in. (19 x 12 cm).",https://collection.sdmart.org/Media/Previews/1971-1980_Embark_Object_Photos/1976-136-d.png,https://collection.sdmart.org/objects-1/info?query=Creation_Place2%20has%20words%20%22china%22&sort=9&page=14&objectName=Album of Eight Landscapes 4
Album of Eight Landscapes 5,Gift of Dr. and Mrs. Melvin G. Goldzband,1822,"This is a Painting Folio, made of Ink and color on silk. Its accession number is 1976.136.5, and its dimensions are 7 5/8 x 4 13/16 in. (19 x 12 cm).",https://collection.sdmart.org/Media/Previews/1971-1980_Embark_Object_Photos/1976-136-e.png,https://collection.sdmart.org/objects-1/info?query=Creation_Place2%20has%20words%20%22china%22&sort=9&page=15&objectName=Album of Eight Landscapes 5
Album of Eight Landscapes 6,Gift of Dr. and Mrs. Melvin G. Goldzband,1822,"This is a Painting Folio, made of Ink and color on silk. Its accession number is 1976.136.6, and its dimensions are 7 5/8 x 4 3/4 in. (19 x 12 cm).",https://collection.sdmart.org/Media/Previews/1971-1980_Embark_Object_Photos/1976-136-f.png,https://collection.sdmart.org/objects-1/info?query=Creation_Place2%20has%20words%20%22china%22&sort=9&page=16&objectName=Album of Eight Landscapes 6
Album of Eight Landscapes 7,Gift of Dr. and Mrs. Melvin G. Goldzband,1822,"This is a Painting Folio, made of Ink and color on silk. Its accession number is 1976.136.7, and its dimensions are 7 5/8 x 4 3/4 in. (19 x 12 cm).",https://collection.sdmart.org/Media/Previews/1971-1980_Embark_Object_Photos/1976-136-g.png,https://collection.sdmart.org/objects-1/info?query=Creation_Place2%20has%20words%20%22china%22&sort=9&page=17&objectName=Album of Eight Landscapes 7
Album of Eight Landscapes 8,Gift of Dr. and Mrs. Melvin G. Goldzband,1822,"This is a Painting Folio, made of Ink and color on silk. Its accession number is 1976.136.8, and its dimensions are 7 5/8 x 4 13/16 in. (19 x 12 cm).",https://collection.sdmart.org/Media/Previews/1971-1980_Embark_Object_Photos/1976-136-h.png,https://collection.sdmart.org/objects-1/info?query=Creation_Place2%20has%20words%20%22china%22&sort=9&page=18&objectName=Album of Eight Landscapes 8
Album of Ten Paintings ,Gift of Dr. Reginald Poland in memory of Mrs. Leon D. Bonnet,mid 18th century-late 18th century,"This is a Painting album, made of Ink and colors on bodhi leaf. Its accession number is 1975.49.1-10, and its dimensions are 11 x 7 in. (28 x 18 cm).",https://collection.sdmart.org/Media/Previews/1971-1980_Embark_Object_Photos/1975-49-1-10.png,https://collection.sdmart.org/objects-1/info?query=Creation_Place2%20has%20words%20%22china%22&sort=9&page=19&objectName=Album of Ten Paintings 
Album of Ten Paintings 1,Gift of Dr. Reginald Poland in memory of Mrs. Leon D. Bonnet,mid 18th century-late 18th century,"This is a Page of Album, made of Ink and colors on bodhi leaf. Its accession number is 1975.49.1, and its dimensions are 10 1/4 x 7 in. (26 x 18 cm).",https://collection.sdmart.org/Media/Previews/1971-1980_Embark_Object_Photos/1975-49-1.png,https://collection.sdmart.org/objects-1/info?query=Creation_Place2%20has%20words%20%22china%22&sort=9&page=20&objectName=Album of Ten Paintings 1
Album of Ten Paintings 10,Gift of Dr. Reginald Poland in memory of Mrs. Leon D. Bonnet,mid 18th century-late 18th century,"This is a Page of Album, made of Ink and colors on bodhi leaf. Its accession number is 1975.49.10, and its dimensions are 10 3/16 x 7 in. (26 x 18 cm).",https://collection.sdmart.org/Media/Previews/1971-1980_Embark_Object_Photos/1975-49-10.png,https://collection.sdmart.org/objects-1/info?query=Creation_Place2%20has%20words%20%22china%22&sort=9&page=21&objectName=Album of Ten Paintings 10
Album of Ten Paintings 2,Gift of Dr. Reginald Poland in memory of Mrs. Leon D. Bonnet,mid 18th century-late 18th century,"This is a Page of Album, made of Ink and colors on bodhi leaf. Its accession number is 1975.49.2, and its dimensions are 10 1/4 x 6 15/16 in. (26 x 18 cm).",https://collection.sdmart.org/Media/Previews/1971-1980_Embark_Object_Photos/1975-49-2.png,https://collection.sdmart.org/objects-1/info?query=Creation_Place2%20has%20words%20%22china%22&sort=9&page=22&objectName=Album of Ten Paintings 2
Album of Ten Paintings 3,Gift of Dr. Reginald Poland in memory of Mrs. Leon D. Bonnet,mid 18th century-late 18th century,"This is a Page of Album, made of Ink and colors on bodhi leaf. Its accession number is 1975.49.3, and its dimensions are 10 1/4 x 6 15/16 in. (26 x 18 cm).",https://collection.sdmart.org/Media/Previews/1971-1980_Embark_Object_Photos/1975-49-3.png,https://collection.sdmart.org/objects-1/info?query=Creation_Place2%20has%20words%20%22china%22&sort=9&page=23&objectName=Album of Ten Paintings 3
Album of Ten Paintings 4,Gift of Dr. Reginald Poland in memory of Mrs. Leon D. Bonnet,mid 18th century-late 18th century,"This is a Page of Album, made of Ink and colors on bodhi leaf. Its accession number is 1975.49.4, and its dimensions are 10 1/4 x 7 in. (26 x 18 cm).",https://collection.sdmart.org/Media/Previews/1971-1980_Embark_Object_Photos/1975-49-4.png,https://collection.sdmart.org/objects-1/info?query=Creation_Place2%20has%20words%20%22china%22&sort=9&page=24&objectName=Album of Ten Paintings 4
Album of Ten Paintings 5,Gift of Dr. Reginald Poland in memory of Mrs. Leon D. Bonnet,mid 18th century-late 18th century,"This is a Page of Album, made of Ink and colors on bodhi leaf. Its accession number is 1975.49.5, and its dimensions are 10 1/4 x 7 in. (26 x 18 cm).",https://collection.sdmart.org/Media/Previews/1971-1980_Embark_Object_Photos/1975-49-5.png,https://collection.sdmart.org/objects-1/info?query=Creation_Place2%20has%20words%20%22china%22&sort=9&page=25&objectName=Album of Ten Paintings 5
Album of Ten Paintings 6,Gift of Dr. Reginald Poland in memory of Mrs. Leon D. Bonnet,mid 18th century-late 18th century,"This is a Page of Album, made of Ink and colors on bodhi leaf. Its accession number is 1975.49.6, and its dimensions are 10 1/4 x 7 in. (26 x 18 cm).",https://collection.sdmart.org/Media/Previews/1971-1980_Embark_Object_Photos/1975-49-6.png,https://collection.sdmart.org/objects-1/info?query=Creation_Place2%20has%20words%20%22china%22&sort=9&page=26&objectName=Album of Ten Paintings 6
Album of Ten Paintings 7,Gift of Dr. Reginald Poland in memory of Mrs. Leon D. Bonnet,mid 18th century-late 18th century,"This is a Page of Album, made of Ink and colors on bodhi leaf. Its accession number is 1975.49.7, and its dimensions are 10 1/4 x 6 15/16 in. (26 x 18 cm).",https://collection.sdmart.org/Media/Previews/1971-1980_Embark_Object_Photos/1975-49-7.png,https://collection.sdmart.org/objects-1/info?query=Creation_Place2%20has%20words%20%22china%22&sort=9&page=27&objectName=Album of Ten Paintings 7
Album of Ten Paintings 8,Gift of Dr. Reginald Poland in memory of Mrs. Leon D. Bonnet,mid 18th century-late 18th century,"This is a Page of Album, made of Ink and colors on bodhi leaf. Its accession number is 1975.49.8, and its dimensions are 10 1/4 x 6 15/16 in. (26 x 18 cm).",https://collection.sdmart.org/Media/Previews/1971-1980_Embark_Object_Photos/1975-49-8.png,https://collection.sdmart.org/objects-1/info?query=Creation_Place2%20has%20words%20%22china%22&sort=9&page=28&objectName=Album of Ten Paintings 8
Album of Ten Paintings 9,Gift of Dr. Reginald Poland in memory of Mrs. Leon D. Bonnet,mid 18th century-late 18th century,"This is a Page of Album, made of Ink and colors on bodhi leaf. Its accession number is 1975.49.9, and its dimensions are 10 1/4 x 7 in. (26 x 18 cm).",https://collection.sdmart.org/Media/Previews/1971-1980_Embark_Object_Photos/1975-49-9.png,https://collection.sdmart.org/objects-1/info?query=Creation_Place2%20has%20words%20%22china%22&sort=9&page=29&objectName=Album of Ten Paintings 9
Album of the Jiangnan Area ,Museum purchase with funds provided by Earle W. Grant,1755,"This is a Painting Folio, made of Ink and color on silk. Its accession number is 1970.4.4, and its dimensions are 18 7/8 in. x 12 in. (47.94 cm x 30.48 cm).",https://collection.sdmart.org/Media/Previews/1961-1970_Embark_Object_Photos/1970-4-4.png,https://collection.sdmart.org/objects-1/info?query=Creation_Place2%20has%20words%20%22china%22&sort=9&page=30&objectName=Album of the Jiangnan Area 
Altar Bowl,Gift of Mrs. John C. Bentz,206 BCE-220,"This is a Bronze Bowl, made of Bronze. Its accession number is 1958.3, and its dimensions are 2 3/16 in. x 9 5/8 in. x 8 9/16 in. (5.56 cm x 24.45 cm x 21.75 cm).",,https://collection.sdmart.org/objects-1/info?query=Creation_Place2%20has%20words%20%22china%22&sort=9&page=31&objectName=Altar Bowl
Altar Frontal (with figures and birds),Gift of Eugene and Carol Freeland,late 19th century-20th century,"This is a Silk Cover, made of Silk. Its accession number is 2007.186, and its dimensions are 36 1/8 in. x 80 3/4 in. (91.76 cm x 205.11 cm).",https://collection.sdmart.org/Media/Previews/2001-2010_Embark_Object_Photos/2007.186.png,https://collection.sdmart.org/objects-1/info?query=Creation_Place2%20has%20words%20%22china%22&sort=9&page=32&objectName=Altar Frontal (with figures and birds)
Ancestor Portrait: Man,Gift of Mr. and Mrs. William Wallace Henderson,undated,"This is a Scroll Painting, made of Colors on paper, hanging scroll. Its accession number is 1975.78, and its dimensions are 47 3/4 in. x 27 1/4 in. (121.29 cm x 69.22 cm).",https://collection.sdmart.org/Media/Previews/1971-1980_Embark_Object_Photos/1975.78.png,https://collection.sdmart.org/objects-1/info?query=Creation_Place2%20has%20words%20%22china%22&sort=9&page=33&objectName=Ancestor Portrait: Man
Ancestor Portrait: Ninth Rank Imperial Official,Museum purchase,19th century,"This is a Scroll Painting, made of Watercolor on paper, hanging scroll. Its accession number is 1936.17, and its dimensions are 119 1/8 in. x 54 7/8 in. (302.58 cm x 139.38 cm).",https://collection.sdmart.org/Media/Previews/1930-1940_Embark_Object_Photos/1936-17.png,https://collection.sdmart.org/objects-1/info?query=Creation_Place2%20has%20words%20%22china%22&sort=9&page=34&objectName=Ancestor Portrait: Ninth Rank Imperial Official
Ancestor Portrait: Qing Official and Wives,Museum purchase,19th century,"This is a Scroll Painting, made of Color on paper, hanging scroll. Its accession number is 1939.94, and its dimensions are 50 1/4 in. x 40 3/4 in. (127.64 cm x 103.51 cm).",https://collection.sdmart.org/Media/Previews/1930-1940_Embark_Object_Photos/1939.94.png,https://collection.sdmart.org/objects-1/info?query=Creation_Place2%20has%20words%20%22china%22&sort=9&page=35&objectName=Ancestor Portrait: Qing Official and Wives
Ancestor Portrait: Woman,Museum purchase with funds provided by the Helen M. Towle Bequest,late 18th century-19th century,"This is a Scroll Painting, made of Watercolor. Its accession number is 1936.8, and its dimensions are 55 in. x 31 1/2 in. (139.7 cm x 80.01 cm).",https://collection.sdmart.org/Media/Previews/1930-1940_Embark_Object_Photos/1936.8.png,https://collection.sdmart.org/objects-1/info?query=Creation_Place2%20has%20words%20%22china%22&sort=9&page=36&objectName=Ancestor Portrait: Woman
Ancestor Portrait: Woman,Gift of Mr. and Mrs. William Wallace Henderson,19th century-20th century,"This is a Scroll Painting, made of Colors on paper, hanging scroll. Its accession number is 1975.77, and its dimensions are 47 1/4 in. x 26 3/4 in. (120.02 cm x 67.95 cm).",https://collection.sdmart.org/Media/Previews/1971-1980_Embark_Object_Photos/1975.77.png,https://collection.sdmart.org/objects-1/info?query=Creation_Place2%20has%20words%20%22china%22&sort=9&page=37&objectName=Ancestor Portrait: Woman
Animal (head with hair),Donor unknown,undated,"This is a Puppet, made of Leather. Its accession number is 1924.738.22.7, and its dimensions are 5 7/8 in. x 6 in. (14.92 cm x 15.24 cm).",https://collection.sdmart.org/Media/Previews/1920-1929_Embark_Object_Photos/1924-738-22-7.png,https://collection.sdmart.org/objects-1/info?query=Creation_Place2%20has%20words%20%22china%22&sort=9&page=38&objectName=Animal (head with hair)
Animal (head with tongue),Donor unknown,undated,"This is a Puppet, made of Leather. Its accession number is 1924.738.22.5, and its dimensions are 3 1/8 in. x 4 3/4 in. (7.94 cm x 12.07 cm).",https://collection.sdmart.org/Media/Previews/1920-1929_Embark_Object_Photos/1924-738-22-5.png,https://collection.sdmart.org/objects-1/info?query=Creation_Place2%20has%20words%20%22china%22&sort=9&page=39&objectName=Animal (head with tongue)
Animal (head),Donor unknown,undated,"This is a Puppet, made of Leather. Its accession number is 1924.738.22.2, and its dimensions are 3 3/4 in. x 3 3/8 in. (9.53 cm x 8.57 cm).",https://collection.sdmart.org/Media/Previews/1920-1929_Embark_Object_Photos/1924-738-22-2.png,https://collection.sdmart.org/objects-1/info?query=Creation_Place2%20has%20words%20%22china%22&sort=9&page=40&objectName=Animal (head)
Another Battle Series No.1,Museum purchase with funds from an anonymous donor,2001,"This is a Color photograph, made of Color photograph. Its accession number is 2019.24, and its dimensions are 39 5/16 x 26 1/4 in. (100 x 67 cm).",https://collection.sdmart.org/Media/Previews/2011-2020_Embark_Object_Photos/2019-24.png,https://collection.sdmart.org/objects-1/info?query=Creation_Place2%20has%20words%20%22china%22&sort=9&page=41&objectName=Another Battle Series No.1
Another Battle Series No.7,Museum purchase with funds from an anonymous donor,2001,"This is a Color photograph, made of Color photograph. Its accession number is 2019.25, and its dimensions are 21 7/16 x 39 5/16 in. (54 x 100 cm).",https://collection.sdmart.org/Media/Previews/2011-2020_Embark_Object_Photos/2019-25.png,https://collection.sdmart.org/objects-1/info?query=Creation_Place2%20has%20words%20%22china%22&sort=9&page=42&objectName=Another Battle Series No.7
Archaic Model of a Cicada,Anonymous gift in loving memory of Evelyn H. Ornstein,1050 BCE-771 BCE,"This is a Jade Sculpture, made of Nephrite. Its accession number is 1994.178, and its dimensions are 9/16 in. x 1 1/8 in. x 1 5/8 in. (1.43 cm x 2.86 cm x 4.13 cm).",https://collection.sdmart.org/Media/Previews/1991-2000_Embark_Object_Photos/1994.178.png,https://collection.sdmart.org/objects-1/info?query=Creation_Place2%20has%20words%20%22china%22&sort=9&page=43&objectName=Archaic Model of a Cicada
Archer's Ring,Gift of Mrs. John Sheafe Douglas,19th century,"This is a Jade Ring, made of Nephrite. Its accession number is 1955.81, and its dimensions are 1 5/16 in. x 1 5/16 in. x 15/16 in. (3.33 cm x 3.33 cm x 2.38 cm).",https://collection.sdmart.org/Media/Previews/1951-1960_Embark_Object_Photos/1955.81.png,https://collection.sdmart.org/objects-1/info?query=Creation_Place2%20has%20words%20%22china%22&sort=9&page=44&objectName=Archer's Ring
Archer's Ring,Gift of Mrs. John Sheafe Douglas,19th century,"This is a Jade Ring, made of Jadeite. Its accession number is 1955.82, and its dimensions are 1 3/8 in. x 1 3/8 in. x 1 3/16 in. (3.49 cm x 3.49 cm x 3.02 cm).",https://collection.sdmart.org/Media/Previews/1951-1960_Embark_Object_Photos/1955.82.png,https://collection.sdmart.org/objects-1/info?query=Creation_Place2%20has%20words%20%22china%22&sort=9&page=45&objectName=Archer's Ring
Archer's Ring,Gift of Mrs. John Sheafe Douglas,19th century,"This is a Jade Ring, made of Jadeite. Its accession number is 1955.83, and its dimensions are 1 5/16 in. x 1 5/16 in. x 1 1/16 in. (3.33 cm x 3.33 cm x 2.7 cm).",https://collection.sdmart.org/Media/Previews/1951-1960_Embark_Object_Photos/1955.83.png,https://collection.sdmart.org/objects-1/info?query=Creation_Place2%20has%20words%20%22china%22&sort=9&page=46&objectName=Archer's Ring
Archer's Ring,Gift of Mrs. John Sheafe Douglas,19th century,"This is a Jade Ring, made of Jadeite. Its accession number is 1955.84, and its dimensions are 1 7/16 in. x 1 7/16 in. x 1 1/8 in. (3.65 cm x 3.65 cm x 2.86 cm).",https://collection.sdmart.org/Media/Previews/1951-1960_Embark_Object_Photos/1955.84.png,https://collection.sdmart.org/objects-1/info?query=Creation_Place2%20has%20words%20%22china%22&sort=9&page=47&objectName=Archer's Ring
Archer's Ring,Gift of Mrs. John Sheafe Douglas,19th century,"This is a Jade Ring, made of Nephrite. Its accession number is 1955.85, and its dimensions are 1 3/8 in. x 1 3/8 in. x 1 1/16 in. (3.49 cm x 3.49 cm x 2.7 cm).",https://collection.sdmart.org/Media/Previews/1951-1960_Embark_Object_Photos/1955.85.png,https://collection.sdmart.org/objects-1/info?query=Creation_Place2%20has%20words%20%22china%22&sort=9&page=48&objectName=Archer's Ring
Archer's Ring,Gift of Mrs. John Sheafe Douglas,late 19th century,"This is a Jade Ring, made of Nephrite. Its accession number is 1955.86, and its dimensions are 1 3/16 in. x 1 5/16 in. x 1 1/4 in. (3.02 cm x 3.33 cm x 3.18 cm).",https://collection.sdmart.org/Media/Previews/1951-1960_Embark_Object_Photos/1955.86.png,https://collection.sdmart.org/objects-1/info?query=Creation_Place2%20has%20words%20%22china%22&sort=9&page=49&objectName=Archer's Ring
Archer's Ring,Gift of Mrs. John Sheafe Douglas,19th century,"This is a Jade Ring, made of Jadeite. Its accession number is 1955.87, and its dimensions are 1 7/16 in. x 1 1/2 in. x 1 3/16 in. (3.65 cm x 3.81 cm x 3.02 cm).",https://collection.sdmart.org/Media/Previews/1951-1960_Embark_Object_Photos/1955.87.png,https://collection.sdmart.org/objects-1/info?query=Creation_Place2%20has%20words%20%22china%22&sort=9&page=50&objectName=Archer's Ring
Archer's Ring,Gift of Edker and Blanche Pope,19th century,"This is a Jade Ring, made of Nephrite. Its accession number is 1991.182, and its dimensions are 1 1/8 in. x 1 1/8 in. x 1 in. (2.86 cm x 2.86 cm x 2.54 cm).",https://collection.sdmart.org/Media/Previews/1991-2000_Embark_Object_Photos/1991.182.png,https://collection.sdmart.org/objects-1/info?query=Creation_Place2%20has%20words%20%22china%22&sort=9&page=51&objectName=Archer's Ring
Archer's Ring,Gift of Edker and Blanche Pope,19th century,"This is a Jade Ring, made of Nephrite. Its accession number is 1991.183, and its dimensions are 1 1/4 in. x 1 1/4 in. x 1 in. (3.18 cm x 3.18 cm x 2.54 cm).",https://collection.sdmart.org/Media/Previews/1991-2000_Embark_Object_Photos/1991.183.png,https://collection.sdmart.org/objects-1/info?query=Creation_Place2%20has%20words%20%22china%22&sort=9&page=52&objectName=Archer's Ring
Arhart or Luohan,Bequest of Elsie S. Kimberly,19th -20th century,"This is a Hanging Scroll, made of Ink and opaque colors on silk, hanging scroll. Its accession number is 1966.8, and its dimensions are 13 3/8 in. x 11 3/8 in. (33.97 cm x 28.89 cm).",https://collection.sdmart.org/Media/Previews/1961-1970_Embark_Object_Photos/1966.80.png,https://collection.sdmart.org/objects-1/info?query=Creation_Place2%20has%20words%20%22china%22&sort=9&page=53&objectName=Arhart or Luohan
Armed Figure Standing Guard,Gift of Mrs. T. L. Sears,ca. 1940,"This is a Woodblock, made of Woodblock. Its accession number is 1973.8, and its dimensions are ().",,https://collection.sdmart.org/objects-1/info?query=Creation_Place2%20has%20words%20%22china%22&sort=9&page=54&objectName=Armed Figure Standing Guard
Armorial Plate,Gift of Dr. and Mrs. Paul W. Greeley,late 18th century-early 19th century,"This is a Ceramic Plate, made of Porcelain. Its accession number is 1976.17, and its dimensions are 13/16 in. x 6 7/8 in. x 6 7/8 in. (2.06 cm x 17.46 cm x 17.46 cm).",https://collection.sdmart.org/Media/Previews/1971-1980_Embark_Object_Photos/1976.170.png,https://collection.sdmart.org/objects-1/info?query=Creation_Place2%20has%20words%20%22china%22&sort=9&page=55&objectName=Armorial Plate
Armorial Plate,Gift of Dr. and Mrs. Paul W. Greeley,late 18th century-early 19th century,"This is a Ceramic Plate, made of Porcelain. Its accession number is 1976.171, and its dimensions are 13/16 in. x 7 in. x 7 in. (2.06 cm x 17.78 cm x 17.78 cm).",https://collection.sdmart.org/Media/Previews/1971-1980_Embark_Object_Photos/1976.171.png,https://collection.sdmart.org/objects-1/info?query=Creation_Place2%20has%20words%20%22china%22&sort=9&page=56&objectName=Armorial Plate
"Art Class, Chungking",Victor Diaz Color Photography Collection,1979,"This is a Dye transfer print, made of Dye transfer print. Its accession number is 2015.36, and its dimensions are 9 7/16  x 14 21/32 in. (24  x 37.2 cm).",https://collection.sdmart.org/Media/Previews/2011-2020_Embark_Object_Photos/2015-36.png,"https://collection.sdmart.org/objects-1/info?query=Creation_Place2%20has%20words%20%22china%22&sort=9&page=57&objectName=Art Class, Chungking"
Autumn,Gift of Frederick A. Schafer,1661,"This is a Scroll Painting, made of Ink and color on silk, hanging scroll. Its accession number is 1991.48, and its dimensions are 72 1/8  x 18 3/8 in. (183.2  x 46.67 cm).",https://collection.sdmart.org/Media/Previews/1991-2000_Embark_Object_Photos/1991-48.png,https://collection.sdmart.org/objects-1/info?query=Creation_Place2%20has%20words%20%22china%22&sort=9&page=58&objectName=Autumn
Autumn Flowers,"Gift of Mr. S. M. Hsiao, Hong Kong",1688,"This is a Scroll Painting, made of Ink and color on paper, hanging scroll. Its accession number is 1964.71.18, and its dimensions are 51  x 22 1/8 in. (129.54  x 56.2 cm).",https://collection.sdmart.org/Media/Previews/1961-1970_Embark_Object_Photos/1964-71-18.png,https://collection.sdmart.org/objects-1/info?query=Creation_Place2%20has%20words%20%22china%22&sort=9&page=59&objectName=Autumn Flowers
Autumn Landscape,Donor unknown,late 17th century - early 18th century,"This is a album leaf, made of Ink and colors on silk. Its accession number is 1985.44.a, and its dimensions are 9 1/16  x 7 7/8 in. (23.02  x 20 cm).",https://collection.sdmart.org/Media/Previews/1981-1990_Embark_Object_Photos/1985.44.a.png,https://collection.sdmart.org/objects-1/info?query=Creation_Place2%20has%20words%20%22china%22&sort=9&page=60&objectName=Autumn Landscape
