主体,介绍
Inscribed_Oracle_Bone,"Zhang Naiji (1899-1948), Paris and New York, by 1948 [1];Acquired from Chang Nai-Chi’s estate by Arthur B. Rothwell (1906-1994), New York and Dallas, TX, 1948-October 25, 1960 [2];Acquired from Rothwell, by exchange, by The Nelson-Atkins Museum of Art, Kansas City, MO, 1960.NOTES:[1] Zhang Naiji (also known as Nai Chi Chang and N. C. Chang) was a collector and dealer who owned Tonying & Company, an antiquities shop in Paris. He emigrated to New York in 1939, where he continued to collect. Zhang worked for C. T. Loo & Company in New York, and later Oriental Fine Arts, which was owned by Arthur B. Rothwell (see note 2). In a letter to Laurence Sickman, Nelson-Atkins Director, dated November 18, 1960, Rothwell described how he came to own the oracle bones: “The inscribed bones, etc. were in the collection of my late associate, Mr. Chang Nai-Chi and were acquired by me from his estate. His death, of course, was so sudden that no provisions had been made for obtaining much of the information that was required later regarding both his personal and also the gallery collection. I am afraid I have no knowledge of the date or place of acquisition but many of his archaic jades and other pieces were obtained during his long purchasing visit to China in 1947 and again in 1948.” Nelson-Atkins Archives, RG 02 Department of Asian Art Records, box 6, folder 2.[2] Arthur B. Rothwell was born in Oldham, England in 1906 and worked as an import manager for Yangtze Trading Company during his early career. He spent several years in New York as president of Oriental Fine Arts, Inc., until 1949, when he closed the gallery and moved to Panama. By 1959, he lived in Dallas, Texas, where he was involved in the oil industry with the Cheyenne Oil Corporation. In a letter to Laurence Sickman dated October 25, 1960, Rothwell proposed an exchange in which he would trade his collection of carved bone fragments for a redundant object from the Nelson-Atkins collection. The object traded by the Nelson-Atkins was a Ting ware cup, which had been purchased by the Museum through Sickman in 1935. The newly-acquired oracle bones assumed the Ting ware cup’s accession number of 35-115. Nelson-Atkins Archives, RG 02 Department of Asian Art Records, box 6, folder 2."
Lady's_Coat_Panel,"Gold panel that hangs in the front opening of the lady's coat.  Gold central panel decorated with flowers and phoenixes, bordered with a floral pattern on a black background."
Corner_Bracket_or_Table_Support_in_Animal_Form,"Table leg or bracket with a motif of two lions meeting in the corner, with a common head.  Red gilding and green patina."
Pheasant,Pheasant standing on one leg in a rocky landscape.  Black monochrome.
Inscribed_Oracle_Bone,"Zhang Naiji (1899-1948), Paris and New York, by 1948 [1];Acquired from Chang Nai-Chi’s estate by Arthur B. Rothwell (1906-1994), New York and Dallas, TX, 1948-October 25, 1960 [2];Acquired from Rothwell, by exchange, by The Nelson-Atkins Museum of Art, Kansas City, MO, 1960.NOTES:[1] Zhang Naiji (also known as Nai Chi Chang and N. C. Chang) was a collector and dealer who owned Tonying & Company, an antiquities shop in Paris. He emigrated to New York in 1939, where he continued to collect. Zhang worked for C. T. Loo & Company in New York, and later Oriental Fine Arts, which was owned by Arthur B. Rothwell (see note 2). In a letter to Laurence Sickman, Nelson-Atkins Director, dated November 18, 1960, Rothwell described how he came to own the oracle bones: “The inscribed bones, etc. were in the collection of my late associate, Mr. Chang Nai-Chi and were acquired by me from his estate. His death, of course, was so sudden that no provisions had been made for obtaining much of the information that was required later regarding both his personal and also the gallery collection. I am afraid I have no knowledge of the date or place of acquisition but many of his archaic jades and other pieces were obtained during his long purchasing visit to China in 1947 and again in 1948.” Nelson-Atkins Archives, RG 02 Department of Asian Art Records, box 6, folder 2.[2] Arthur B. Rothwell was born in Oldham, England in 1906 and worked as an import manager for Yangtze Trading Company during his early career. He spent several years in New York as president of Oriental Fine Arts, Inc., until 1949, when he closed the gallery and moved to Panama. By 1959, he lived in Dallas, Texas, where he was involved in the oil industry with the Cheyenne Oil Corporation. In a letter to Laurence Sickman dated October 25, 1960, Rothwell proposed an exchange in which he would trade his collection of carved bone fragments for a redundant object from the Nelson-Atkins collection. The object traded by the Nelson-Atkins was a Ting ware cup, which had been purchased by the Museum through Sickman in 1935. The newly-acquired oracle bones assumed the Ting ware cup’s accession number of 35-115. Nelson-Atkins Archives, RG 02 Department of Asian Art Records, box 6, folder 2."
Gamester_or_Storyteller,"Figure of a man kneeling, dressed in a flowing robe with wide sleeves, and a cylindrical headdress.  Hands extended as if clapping."
Dog,"Gray ceramic figure of a reclining dog with its head turned over its right paw, with a bushy tail spread out behind it."
Warrior,"Warrior figure dressed in leather armour, with wide leather trousers gathered at the knee, a small cap and ribbons, and a skirt with a pressed geometric design.  The face has a full beard and the figure has a flat back.  The face has a dramatic expression with raised eyebrows, head turned slightly to the figure's left, and holding a shield with incised lines in his left hand.  Unglazed, with traces of polychrome."
Central_Asian_Falconer,Tomb figure of a falconer. standing and wears conical headdress. Unglazed pottery with traces of polychrome.
Bowl,"Bowl with a wide flaring lip and small, narrow foot.  Buff body, thick light-blue, even glaze.  ""Earthworm"" marks on the interior."
Whiling_Away_the_Summer,"Chinese Art Under the Mongols,Yale University Art Gallery,
1968-1969. Traveled to Albright-Knox Gallery, Buffalo, New York; Cleveland
Museum of Art, October 1-November 24, 1968; Asia House Gallery, New York.Eight Dynasties of Chinese Painting, Nelson-Gallery-Atkins Museum,
Kansas City, November 7, 1980 – January 4, 1981; The Cleveland Museum of Art,
February 7 – April 5, 1981; The Asia Society, December 3, 1981 – February 28,
1982; Tokyo National Museum, October 4 – November 17, 1982, no. 92.Senses and Sensibilities in Chinese
Painting, The
Nelson-Atkins Museum of Art, December 14, 2008- February 15, 2009.The World of Khubilai
Khan: Chinese Art in the Yuan Dynasty,Metropolitan Museum of Art, September 20, 2010- Janurary 2,
2001, no. 234.Masterpieces
of Early Chinese Painting and Calligraphy in American Collections, Shanghai
Museum, October 16, 2012- January 17, 2013, no. 23.1."
Three-storied_Watchtower,"Three story tower with large overhanging eaves above each story, with decorative quatrefoils on corners of eaves.  Three figures stand on the porch of each story.  Tower made in three separate parts placed on top of one another."
"Ceiling_Panels,_China,_Beijing,_Zhihua_Temple",Carved cypress wood with gold leaf; dragon design carved in relief
Standing_Guanyin_Bodhisattva,"Gods of Asia, Asia House Gallery, New York, May
1-July 1, 1962.Exhibition, Joslyn Art Museum, Omaha, NE.
February 23-March 29, 1964, no. 72.Oriental art exhibition, Washington University, St. Louis,
January 23-March 4, 1966."
Dog,"Gray ceramic figure of a reclining dog with its head turned over its left paw, with a bushy tail spread out behind it.  Traces of red and white pigment."
Waiting_for_the_Ferry_in_the_Chilly_Mountains,"High mountain rising above a lake with fishermen and a pavilion by the shore, in the foreground; in the middle distance, a temple compound is situated near the edge of the cliff high among the clouds."
Model_of_a_Multi-Storied_Tower,"Four story house, with a narrow balcony with figures above the first level, a landscape painting with birds and trees on the sides of the house.  Two towers flank the balcony and there is a square tower on top."
Torso_of_a_Bodhisattva,"Standing frontal figure with head and arms lacking.  Garment folds in low relief with dhoti adorned with ribbons and long ropes of jewelry.  Originally coated with a light coat of gesso, painted and gilded (now lacking)."
Ornament,"One side of the upper frieze of a small, octagonal cinerary pagoda with imagery of a double human-headed, bird-bodied figure."
Spoon,"Small spoon with a short, curved handle; green iridescent glaze."
Surveillance_Commissioner_Zhang_Listens_to_Wind_and_Rain_in_the_Paulownia_Trees,"Man seated in garden at right, trees and rocks on edge of lake at left."
Small_Vase,Small vase with apple green glaze.  Has elaborate ivory stand.
Palaces_in_Landscape,"Figures in foreground, blue and green roofed palaces half way up mountain."
Portal_Guardian,"Buff-gray sandstone sculpture of a man, torso turned to the right, the eft arm thrust to the rear, held straight and taut; the muscles of the chest and stomach are strongly exaggerated.  The right arm, lower part of the legs, and the left hand are broken off.  There are traces of red pigment.  The head is a replica, with a fierce expression, a sharply downturned, closed mouth and angled eyebrows."
Figurine,"Dancing female figure with a red sash at the waist, long striped sleeves, and a long skirt with black stripes."
Palace_in_Mountainous_Landscape,"Album painting of house surrounded by trees in mountainous landscape.  Very stained.  Colors: vermillion, blue and green."
Standing_Figure_of_a_Monk,"Standing figure, slight bend in the torso.  The head, now missing, may have been made as a separate piece to be inserted into the base of the neck.  Robe indicated by repeated pleating, and conforming to an ovoid shape.  Figure holds a rosary and was probably one from a group of five: a central Buddha image flanked by a bodhisattva and a monk on either side, the latter representing the disciples, Ananda and Mahakasyapa."
Tomb_Warrior,"Standing figure in helmet and cloak, with traces of red and white pigment."
Lady_with_Bamboo,"With C. C. Wang (1907-2003), New York, by 1967;Purchased from C. C. Wang by The Nelson-Atkins Museum of Art, Kansas City, MO, 1967.NOTES:[1] Wang Jiqian (Chi-Cheng, called C. C. Wang) was an artist, collector and dealer who was known especially for his expertise in Chinese paintings. He emigrated to the United States from China in 1949."
Cooking_Pot_with_Fish_in_Relief_on_Interior,Round bowl with fish in relief on interior.
Garden_Scene_with_Ladies_and_Children,"Large, horizontal decorative painting of a garden court with pavilions.  Several ladies watching many little boys at play.  An over-k'ang decoration."
Water_Coupe,"Small squat water pot. flat foot. brown crackle outside, inside chien-like glaze."
Wine_Vessel,Elongated melon-shaped vessel with low foot ornamented in rope pattern.  T'ao-T'ieh masks with rings on either side.  Circle of cowry shells around neck and coiled serpent on lid.  Incised inscription on foot and inside lid.
Waterspout,Album painting with men in lower left corner watching a waterspout on the sea. Dragon in sky.
Bin,Rectangular bin resting on four legs.  Straight flaring sides.  The sides and bottom are pierced with rectangular openings.
Mill,A primitive mill resembling a pivoted hammer.
Tabouret,"Red lacquer stand with a square top, four slender, curved legs, and a square base; decorated with flower and bird designs."
Ring,Coral band with medallion and inscription.
Water_Pot,"Ovoid shape vase with foot, greyish turquoise blue glaze with traces of lavender showing through. ware."
Mill,"Rectangular object with enclosure for man to stand in, and work the hammer- like grinder."
Torso_of_a_Standing_Bodhisattva,"Torso of a standing figure with head hands and feet missing.  Clinging draperies with concentric arrangement of the folds, carved in low relief."
Dish,"Flat dish with grayish turquoise blue glaze, and traces of rose."
Inscribed_Oracle_Bone,"Zhang Naiji (1899-1948), Paris and New York, by 1948 [1];Acquired from Chang Nai-Chi’s estate by Arthur B. Rothwell (1906-1994), New York and Dallas, TX, 1948-October 25, 1960 [2];Acquired from Rothwell, by exchange, by The Nelson-Atkins Museum of Art, Kansas City, MO, 1960.NOTES:[1] Zhang Naiji (also known as Nai Chi Chang and N. C. Chang) was a collector and dealer who owned Tonying & Company, an antiquities shop in Paris. He emigrated to New York in 1939, where he continued to collect. Zhang worked for C. T. Loo & Company in New York, and later Oriental Fine Arts, which was owned by Arthur B. Rothwell (see note 2). In a letter to Laurence Sickman, Nelson-Atkins Director, dated November 18, 1960, Rothwell described how he came to own the oracle bones: “The inscribed bones, etc. were in the collection of my late associate, Mr. Chang Nai-Chi and were acquired by me from his estate. His death, of course, was so sudden that no provisions had been made for obtaining much of the information that was required later regarding both his personal and also the gallery collection. I am afraid I have no knowledge of the date or place of acquisition but many of his archaic jades and other pieces were obtained during his long purchasing visit to China in 1947 and again in 1948.” Nelson-Atkins Archives, RG 02 Department of Asian Art Records, box 6, folder 2.[2] Arthur B. Rothwell was born in Oldham, England in 1906 and worked as an import manager for Yangtze Trading Company during his early career. He spent several years in New York as president of Oriental Fine Arts, Inc., until 1949, when he closed the gallery and moved to Panama. By 1959, he lived in Dallas, Texas, where he was involved in the oil industry with the Cheyenne Oil Corporation. In a letter to Laurence Sickman dated October 25, 1960, Rothwell proposed an exchange in which he would trade his collection of carved bone fragments for a redundant object from the Nelson-Atkins collection. The object traded by the Nelson-Atkins was a Ting ware cup, which had been purchased by the Museum through Sickman in 1935. The newly-acquired oracle bones assumed the Ting ware cup’s accession number of 35-115. Nelson-Atkins Archives, RG 02 Department of Asian Art Records, box 6, folder 2."
Mountainous_Landscape,"Album painting of mountainous landscape, bridge in the foreground, lake at left with boat."
Storehouse,"Pottery, with green glaze corroded to silvery luster. furnishings. supported by four legs in form of bears. Two decorations on roof in form of horse and rider. door."
Lady_in_the_Library,Painting of a lady in a gray and pale green kimono seated in a chair in an interior.
Inscribed_Oracle_Bone,"Zhang Naiji (1899-1948), Paris and New York, by 1948 [1];Acquired from Chang Nai-Chi’s estate by Arthur B. Rothwell (1906-1994), New York and Dallas, TX, 1948-October 25, 1960 [2];Acquired from Rothwell, by exchange, by The Nelson-Atkins Museum of Art, Kansas City, MO, 1960.NOTES:[1] Zhang Naiji (also known as Nai Chi Chang and N. C. Chang) was a collector and dealer who owned Tonying & Company, an antiquities shop in Paris. He emigrated to New York in 1939, where he continued to collect. Zhang worked for C. T. Loo & Company in New York, and later Oriental Fine Arts, which was owned by Arthur B. Rothwell (see note 2). In a letter to Laurence Sickman, Nelson-Atkins Director, dated November 18, 1960, Rothwell described how he came to own the oracle bones: “The inscribed bones, etc. were in the collection of my late associate, Mr. Chang Nai-Chi and were acquired by me from his estate. His death, of course, was so sudden that no provisions had been made for obtaining much of the information that was required later regarding both his personal and also the gallery collection. I am afraid I have no knowledge of the date or place of acquisition but many of his archaic jades and other pieces were obtained during his long purchasing visit to China in 1947 and again in 1948.” Nelson-Atkins Archives, RG 02 Department of Asian Art Records, box 6, folder 2.[2] Arthur B. Rothwell was born in Oldham, England in 1906 and worked as an import manager for Yangtze Trading Company during his early career. He spent several years in New York as president of Oriental Fine Arts, Inc., until 1949, when he closed the gallery and moved to Panama. By 1959, he lived in Dallas, Texas, where he was involved in the oil industry with the Cheyenne Oil Corporation. In a letter to Laurence Sickman dated October 25, 1960, Rothwell proposed an exchange in which he would trade his collection of carved bone fragments for a redundant object from the Nelson-Atkins collection. The object traded by the Nelson-Atkins was a Ting ware cup, which had been purchased by the Museum through Sickman in 1935. The newly-acquired oracle bones assumed the Ting ware cup’s accession number of 35-115. Nelson-Atkins Archives, RG 02 Department of Asian Art Records, box 6, folder 2."
Head_of_a_Bodhisattva,"Crowned head, facial features in the archaic style of the period including the flat forehead and temples, the high geometric spring of the eyebrows, thin slits of the sloping eyes, the archaic smile and flat, deep-cleft chin.  Nose partially restored"
Guardian_Lion,"Seated guardian lion, right side of the body with head full face.  Snarling expression, left front paw raised in a threatening attitude"
Guanyin_of_the_Southern_Sea,"Represented as ""Kuan-Yin of the southern seas,"" the Chinese Buddhist deity of compassion and mercy is seated in a variation of the pose of royal ease (Maharajalila) on a base imitating a craggy rock with his/her right arm resting on his/her folded right knee. The left arm rests on the rock while the left leg hangs down over the rockery onto a lotus blossom. The position of the Guanyin conveys the impression that the Bodhisattva might at any moment awake from deep contemplation and step down. The Bodhisattva's worldly ornaments, such as the high tiara and rich necklaces, are carved, gilded and painted in sumptuous detail."
Scabbard_Finial,"With J. T. Tai (1911-1992),
Shanghai, China, by June 1947;Purchased from J. T. Tai by C. T.
Loo & Co., stock no. NYL-7/999, by June 1947-1950 [1];Purchased from C. T. Loo & Co.
by The Nelson-Atkins Museum of Art, Kansas City, MO, 1950.NOTES:[1] C. T. Loo and Frank Caro
archive, Musée Guimet, Paris, copy of stock card in NAMA curatorial files."
Ornament,"One side of the upper frieze of a small, octagonal cinerary pagoda with imagery of a single bird."
Kalavinka_Musician,"One side of the upper frieze of a small, octagonal cinerary pagoda. Imagery depicts celestial musicians of half-human, half-bird form."
Grain_Yard,"A man grinding grain, a seated dog, and a large millstone are all surrounded by a wall on three sides."
Door_Panels_from_a_Temple,"With T. T. Woo, Peking (modern-day Beijing), China, by?1928;Purchased from T. T. Woo by the dealer C. T. Loo (1880-1957),
Paris, 1928-April 1932 [1];His gift to
The Nelson-Atkins Museum of Art, Kansas City, MO, 1932.NOTES:[1] Shipping invoice dated March 11, 1932, for shipping door panels from Paris to the Nelson-Atkins, leaving France on the S.S. San Diego on April 11, 1932, Nelson-Atkins?files."
Ritual_Libation_Vessel_(gu),"Trumpet-shaped beaker decorated with Tao T'ieh masks, ""Chou hooks"" in relief.  Thunder pattern and ""Chou hooks"" incised.  Green patina."
Ritual_Wine_Vessel_(jia),"Large four-legged bronze with original lid, animal on lid."
Torso_of_a_Bodhisattva_(one_of_a_pair),"Standing figure of a bodhisattva, head and arms lacking.  Garment of dhoti, with scarves passing through a ring below the waist.  Necklace with pendant jewel.  One of a pair with 40-33, but sculpted by a different craftsman."
Dog_and_Bamboo,"Chinese Great Painters of the Ming
and Ch'ing Dynasties,Wildenstein & Co., New York, February-May 1949. (Organized by the Asia
Institute)Great Chinese Painters of the Ming
and Ch'ing Dynasties,
Istituto Italiano per il Medio ed Estremo Oriente, Rome, Italy, April-June
1950.Ming
exhibition, Detroit Institute of Arts, April-June 1952. Allen Memorial Art
Museum, Oberlin (OH) College. March-April 1954.Art in Asia and the West, San Francisco Museum of Art,
October-December 1957.A World of Flowers, Philadelphia Museum of Art, May
2-June 9, 1963. Dallas Museum of ArtEight Dynasties of Chinese Painting, Nelson-Gallery-Atkins Museum,
Kansas City, November 7, 1980 – January 4, 1981; The Cleveland Museum of Art,
February 7 – April 5, 1981; The Asia Society, December 3, 1981 – February 28,
1982; Tokyo National Museum, October 4 – November 17, 1982, no. 120.Painters of the Great Ming: The
Imperial Court and Zhe School,The Metropolitan Museum of Art, March 10-May 9, 1993; Dallas Museum of Art,
June 3-August 1, 1993.Ming Paintings through the Eyes of
Connoisseurs,
Spencer Museum of Art, Lawrence, Kansas, January 20, 2001- March 4, 2001.Secret Messages: Symbol and Meaning
in Chinese Art,The Nelson-Atkins Museum of Art, Kansas City, Missouri, June 22, 2013- January
12, 2014."
Grain_Mill,This is the hopper of the grain mill with two mill stones on top. green glaze.
Manchu_Hairpin,"Coral dragon with pendant of jade, pearl and rose quartz on a gold pin."
Shakyamuni_Buddha,Buddha seated on a throne; two guardians and two semi-nude children; Baldachin over head; Buddha in purple figured and green brocade.
Vase,One of a pair of Hu vases.  Inverted crown design on the neck.  Shoulder has an abstract painted design in volutes.  Lower part of the jar is dotted.  Made of gray clay with a white ground and designs in orange and black.
Mountain_Landscape,"Mountain landscape with figures. Foreground: figures on horseback crossing bridge leading to a pavilion where people are seated.  Two gentlemen standing on an arched bridge, with small attendant carrying a wrapped lute.  Background: two-storied gate, and group of buildings in forest.  Signature of Chou Ch'en. Silk much darkened with age."
Wine_Cup,"Oblong bowl with two flanges on the long sides. Serpentine design on side, zig-zag design in relief on edge. Iridescent green glaze."
Vase,"Vase with two tubular handles and holes in rectangular foot, oval shaped, with a grayish blue glaze and buff crackle."
Bowl,"One of a pair of small bowls, with a molded petal design inside, with scalloped edges, a very pale celadon glaze, and a small foot."
Shakyamuni_Buddha,Buddha in red and green robe; four small guardians around throne; two bodhisattvas seated on phoenix; Jataka scenes in halo.
Standing_Attendant_Bodhisattva,"Headless standing figure facing toward proper left, with left hip thrust out, the right knee bent, the left arm pendant, holding a fragment of the figure's scarf, the right arm is broken off at the elbow.  Wears Indian style drapery, a long dhoti with a girdle and a flowing scarf draped diagonally across the upper body.  Also wears a necklace with a pendant jewel, armlets, and bracelets.  Traces of original polychrome."
Spatula_Fragment,"Chinese Bronzes, Metropolitan Museum of Art, New
York, 1938, no. 112.Golden Gate International Exhibition, San Francisco, California, 1939,
no. 3.Ancient Chinese Bronzes, Pomona College, Claremont, California,
September – December, 1947."
Inscribed_Oracle_Bone,"The Shang elite addressed questions to their ancestors using the shoulder blades (scapula) of oxen and the underbelly shells (plastron) of turtles. When a hot poker was applied to the rear, cracks appeared on the front surface. These cracks were interpreted as answers to the questions, which were inscribed alongside. These inscriptions represent the earliest surviving substantive examples of Chinese writing."
Vase,One of a pair of Hu vases.  Inverted crown design on the neck.  Shoulder has an abstract painted design in volutes.  Lower part of the jar is dotted.  Made of gray clay with a white ground and designs in orange and black.
Pig_Pen_and_Latrine,One large boar in an enclosed pen. On one corner of the pen is a small house with approaching stairway.
Kalavinka_Musician,"One side of the upper frieze of a small, octagonal cinerary pagoda with imagery of a celestial musician in half-human, half-bird form."
Sheep_Pen,"Iridescent green glazed pottery. Four rams in an enclosed pen, attended by a man on horseback."
Stand,Four legged pottery stand.  Three fourths of each side and one end is solid.
Ornament,"One side of the upper frieze of a small, octagonal cinerary pagoda with imagery of a celestial musician playing a flute."
Bust_of_a_Guardian_King,"Art in Asia and the West, San Francisco Museum of Art.
October-December 1957."
Figurine,"Dancing female figure with a red sash at the waist, long striped sleeves, and a long skirt with black stripes."
Equestrian_Figure,"Standing greenish-white glaze horse with brown glaze tail and mane, surmounted by male rider in Tartar costume of green glaze. boots, and saddle in black paint. brilliantly painted."
Lampstand,"Seated woman with conical headdress and child in lap, holds in left arm a large socket."
Lamp_or_Socket,"Seated woman with conical headdress and child in lap, holds in left arm a large socket."
Ornament,"One side of the upper frieze of a small, octagonal cinerary pagoda with imagery of a celestial musician playing a flute."
Pheasants_in_Landscape,"Two brown pheasants with red heads in lower center, two grey ones with red bills on limb of tree which crosses upper right.  Waterfall full length on right side."
Flowers_and_Birds_of_Spring,"The Spring scene from an original set of ""Birds and Flowers of the Four Seasons.""  Depicts two pheasants on rocks among bamboo and blossoming trees near a waterfall."
"Ceiling_Panels,_from_Zhihua_Temple,_Beijing,_China",Carved cypress wood with gold leaf; dragon design carved in relief
"Gateway_Tile_from_the_Tomb_Compound_of_Prince_Ding,_a_Son_of_the_Qianlong_Emperor",Gateway of green and yellow tiles with two flower medallions in panels
Reverent_Monk,"Standing male figure in bas-relief, darkened sandstone.  Right hand is raised, palm open, with ends of drapery folded over the left arm, slightly raised.  The lower part of the figure is restored."
Kalavinka_Musician,"One side of the upper frieze of a small, octagonal cinerary pagoda. Imagery depicts a celestial musician of half-human, half-bird form playing a harp."
