藏品名称,作者,年代,描述,图片链接,详情链接
Archer's Ring (清   扳指),Chinese,17th–19th century,"In Manchu archery, the bowstring is pulled back with the thumb of the right hand, making a thumb ring essential both to protect the thumb and to ensure a smooth release of the arrow. In addition to their practical function, thumb rings were also worn regularly as personal adornment. All Manchu archers, even the highest ranking aristocrats, favored plain thumb rings of bone or antler for use in hunting and warfare. At other times, however, they wore thumb rings that were highly decorated and made of fragile or precious materials, such as jade, amber or ivory.",https://images.metmuseum.org/CRDImages/aa/mobile-large/DP-841-001.jpg,https://www.metmuseum.org/en/art/collection/search/30234
Imperial Seal of the Prince of the D?rbed (Four Children) Banner,Chinese,dated 1686,"The Qing emperors consolidated their rule over Inner Mongolia by recognizing the title of prince held by leaders of various Mongol fiefdoms. These fiefdoms were then organized into territorial units known as banners. In return for their loyalty and military support, the princes received full and inalienable rights to rule their banners in alliance with the Qing. To signify that power and authority, the emperor gave each prince a silver seal, surviving examples of which are now exceptionally rare. These imperial seals were inherited by successive princes and venerated as sacred objects, while also embodying the banner’s status and legitimacy within the empire.Emperor Kangxi (reigned 1662–1722) bestowed this seal on the leader of the D?rbed (Four Children) Banner to formalize the banner’s acceptance of Qing sovereignty in 1686. On the underside of the base of this seal, cast in raised letters, is the phrase, in Manchu and Mongolian, Seal of the Prince of the D?rbed Banner. The same phrase is also engraved on top of the base at either side of the tiger, in Manchu on one side and Mongolian on the other. The dual language inscription, Made by the State Ministry, is engraved on the front and back edges of the base; and, Kangxi twenty-fifth year, fourth month [a.d. 1686] is engraved on the side edges of the base.",https://images.metmuseum.org/CRDImages/aa/mobile-large/LC-L_2017_55_3-012.jpg,https://www.metmuseum.org/en/art/collection/search/755613
Archer's Ring with Taoist Symbols (清   扳指),Chinese,19th century,"In Manchu archery, the bowstring is pulled back with the thumb of the right hand, making a thumb ring essential both to protect the thumb and to ensure a smooth release of the arrow. In addition to their practical function, thumb rings were also worn regularly as personal adornment. All Manchu archers, even the highest ranking aristocrats, favored plain thumb rings of bone or antler for use in hunting and warfare. At other times, however, they wore thumb rings that were highly decorated and made of fragile or precious materials, such as jade, amber or ivory.Each of this ring's four panels is carved with symbols representing one of the Eight Immortals and one of the Eight Precious Objects of Taoism.",https://images.metmuseum.org/CRDImages/aa/mobile-large/DP-838-001.jpg,https://www.metmuseum.org/en/art/collection/search/23857
Sword with Scabbard Mounts,Chinese,ca. 600,"This sword is said to have been found in an imperial tomb at Mang Shan, north of Luoyang, Henan Province. The P-shaped scabbard mounts, probably derived from long swords worn by nomadic Sarmatian and Sasanian horsemen, served as a prototype for the Japanesetachi(slung sword). The ring pommel takes the form of two confronted dragons.",https://images.metmuseum.org/CRDImages/aa/mobile-large/DP101367.jpg,https://www.metmuseum.org/en/art/collection/search/23352
Sword,Chinese,5th–4th century BCE,"In its complete state, this excavated bronze sword would have included an integral disk-shaped pommel positioned perpendicularly to the axis of the grip. The double-edged blade bears on one side an inscription that seemingly records the circumstances of the sword's manufacture. However, the execution of the writing suggests that the inscription is either a modern addition or an original text that was defaced when the original characters were engraved over in a misguided attempt to make them clearer.",https://images.metmuseum.org/CRDImages/aa/mobile-large/LC-12_37_145-004.jpg,https://www.metmuseum.org/en/art/collection/search/25653
Ceremonial Armor for a High Ranking Official,Chinese,18th century,,https://images.metmuseum.org/CRDImages/aa/mobile-large/DP277203.jpg,https://www.metmuseum.org/en/art/collection/search/32075
Ceremonial Helmet,Chinese,mid-18th century,"The excellent quality and elaborate ornamentation of this helmet indicate that it was made for a nobleman, possibly of imperial status, or a very high-ranking military official. It is decorated with applied ornaments of gilt copper including the Buddhist mantraOm mani padme humin Lantsa characters. The Lantsa alphabet was often used for sacred inscriptions in Tibet, China, and other Buddhist countries. The helmet is very similar to one worn by Emperor Qianlong in a famous equestrian portrait of him painted by the Jesuit artist, Giuseppe Castiglione, and another helmet that was donated by the emperor to a Tibetan monastery in 1757.",https://images.metmuseum.org/CRDImages/aa/mobile-large/LC-36_25_5a-018.jpg,https://www.metmuseum.org/en/art/collection/search/35961
Imperial Knife with Sheath,Chinese,18th century,"This elegant knife was intended as a personal accessory for a member of the imperial court, rather than as a weapon. It is part of a group of several known examples, all of which are similar in shape, size, and richness, but with each having some differences, particularly in the style and decoration of the sheaths. The gilding of their blades is a distinctive and highly unusual feature; the steel beneath the gold is purposely roughened to create a mottled, naturalistic surface to contrast with the refined precision of the accompanying hilt and sheath. At the base of the spine of the blade, the Qianlong mark is inlaid in gold letters:Qianlong nian zhi(Made in the Qianlong reign). The decoration on the sheath imitates European gold and enamel work.",https://images.metmuseum.org/CRDImages/aa/mobile-large/60.107ab_005july2014.jpg,https://www.metmuseum.org/en/art/collection/search/27397
Imperial Lapis Lazuli and Jade-Hilted Knife with Sheath,Chinese,ca. 1736–95,"This elegant knife was intended as a personal accessory for a member of the imperial court, rather than as a weapon. It is part of a group of several known examples, all of which are similar in shape, size, and richness, but with each having some differences, particularly in the style and decoration of the sheaths. The gilding of their blades is a distinctive and highly unusual feature; the steel beneath the gold is purposely roughened to create a mottled, naturalistic surface to contrast with the refined precision of the accompanying hilt and sheath. At the base of the spine of the blade, the Qianlong mark is inlaid in gold letters:Qianlong nian zhi(Made in the Qianlong reign). The decoration on the sheath is an inspired interpretation of Islamic ornament.",https://images.metmuseum.org/CRDImages/aa/mobile-large/LC-L_2017_55_4ab-009.jpg,https://www.metmuseum.org/en/art/collection/search/765829
Imperial Saddle and Stirrups with Bridle,Chinese,18th century,"Skillful horsemanship played a vital role in the military successes of the Manchu and was a key factor in the establishment of the Qing dynasty. Because of this, riding and the use of weapons on horseback for warfare or hunting became important aspects of Qing cultural identity. Elaborately decorated saddles were one highly visible way that Qing emperors and the military elite celebrated their equestrian heritage.The visible areas of this saddle are covered entirely with carved red lacquer. This expensive and time-consuming technique was normally restricted to objects such as dishes and small boxes, which were luxury items made to be appreciated for their beauty and delicacy. Its use on a saddle, even one intended only for ceremonial purposes, is unprecedented and conveys the great wealth, taste, and refinement of its original owner. It is possible that this saddle was made in the imperial Palace Workshops (Zaoban chu), one of which was devoted solely to the production of saddles for the emperor.In addition to their utilitarian function, stirrups, like saddles, were often beatifully decorated. Nearly all stirrups from China, Mongolia, and Tibet incorporated dragon heads into their design on either side of the slot at the center of the arch. This pair is very unusual for its lack of dragons and for its simple but elegant ornament, formed by a pattern of closely set, five-petal flower blossoms.",https://images.metmuseum.org/CRDImages/aa/mobile-large/LC-L_2017_55_1a_f-010.jpg,https://www.metmuseum.org/en/art/collection/search/755598
Pair of Dagger-Axes (Ge),Chinese,4th–3rd century BCE,"This pair of dagger-axes (ge) represent a later developmental stage, in which the three principal elements––yuan,hu, andnui––became longer and more slender in proportion, their edges describing both gentle curves and perfectly straight edges in a balanced juxtaposition. This refinement coincided with the decline of thegeas the foremost of offensive weapons toward the end of the Western Han dynasty. The delicate painted lacquer decoration further emphasizes the ornamental function of these pieces and suggests that they may have been made purely for ceremonial use or specifically as grave goods for the tomb of a high ranking military official.",https://images.metmuseum.org/CRDImages/aa/mobile-large/2000.262a_002july2014.jpg,https://www.metmuseum.org/en/art/collection/search/26616
Matchlock Gun with Carved Red Lacquer Stock,Chinese,ca. 1750,"Although typical in its form, this gun is extraordinary, possibly unique, for its decoration, consisting of deeply carved red lacquer covering the entire gunstock and featuring designs of undulating dragons among billowing clouds. This painstaking, delicate, and expensive lacquer technique is usually found on dishes, boxes, and other types of lacquerware intended as presentation pieces or to be appreciated as works of art. Additional ornament is visible on the gun barrel, which is finely engraved along its length with images of dragons and leafy vines.China pioneered the use of gunpowder for fireworks and artillery in the thirteenth and fourteenth centuries. Sophisticated firearms technology, however, developed more rapidly in Europe during the fifteenth and sixteenth centuries and was then introduced into China by merchants, diplomats, and missionaries during the seventeenth century. Improved designs for cannons and practical types of hand-held guns were eagerly promoted and officially adopted as regulation military equipment under the Qing emperors Kangxi (reigned 1662–1722) and Qianlong (reigned 1736–1795). In addition to mastering the use of bow and arrow and other weapons, both Kangxi and Qianlong owned and used guns, particularly for hunting. This was in keeping with their overall belief in the importance of martial training, which they encouraged by personal example.",https://images.metmuseum.org/CRDImages/aa/mobile-large/LC-L_2017_55_2-004.jpg,https://www.metmuseum.org/en/art/collection/search/755608
Ceremonial Saddle,Chinese,17th–early 18th century,"The intensely intricate designs that cover this saddle are made of small, microscopically thin pieces of abalone shell (commonly called mother of pearl) and gold foil set into a background of black lacquer. Like the carved red lacquer seen on the saddle and gun displayed nearby, this technique was usually reserved for delicate luxury objects such as plates, boxes, or folding screens.For centuries, elaborately decorated saddles were used across Asia, from Japan to the Himalayas, as personal status symbols and as diplomatic gifts. Based on its quality and rarity, this saddle may have been made in the imperial Palace Workshops (Zaoban chu), one of which was devoted specifically to saddlery. Discovered in Tibet in the 1980s, the saddle was probably sent there from China in the seventeenth or eighteenth century as a gift from the imperial court.",https://images.metmuseum.org/CRDImages/aa/mobile-large/LC-L_2017_55_5ab-041.jpg,https://www.metmuseum.org/en/art/collection/search/700028
Swords with Scabbard Mounts,Chinese,ca. 600,"This sword is said to have been found in an imperial tomb at Mang Shan, north of Luoyang, Henan Province. The ring pommel encloses a phoenix head.",https://images.metmuseum.org/CRDImages/aa/mobile-large/DT304541.jpg,https://www.metmuseum.org/en/art/collection/search/684270
Small vase,Chinese,ca. late 18th century,,https://images.metmuseum.org/CRDImages/rl/mobile-large/1736-1.jpg,https://www.metmuseum.org/en/art/collection/search/460677
Small wine pot or teapot,Chinese,1662–1722,"This small, squat, pear-shaped pot has an eared handle and a curved spout. A design of flowers and rocks is painted on either side. The quality of the blue is unusually good for wares of this type; indeed, it approximates the blue seen in mid-sixteenth-century Chinese porcelains. The character yu (jade) is written in underglaze blue, with no encircling element, on the base. The chipped spout has been repaired.",https://images.metmuseum.org/CRDImages/rl/mobile-large/SLP1713-1.jpg,https://www.metmuseum.org/en/art/collection/search/460669
Small covered winepot or teapot,Chinese,1662–1722,,https://images.metmuseum.org/CRDImages/rl/mobile-large/SLP1710_1711_1712-3.jpg,https://www.metmuseum.org/en/art/collection/search/460930
Small vase,Chinese,1662–1722,,https://images.metmuseum.org/CRDImages/rl/mobile-large/1685-1.jpg,https://www.metmuseum.org/en/art/collection/search/461496
Covered wine pot or teapot,Chinese,1662–1722,,https://images.metmuseum.org/CRDImages/rl/mobile-large/1701_31.jpg,https://www.metmuseum.org/en/art/collection/search/461213
Small vase,Chinese,18th century,,https://images.metmuseum.org/CRDImages/rl/mobile-large/1687-1.jpg,https://www.metmuseum.org/en/art/collection/search/461500
Censer with elephant-shaped handles,Chinese,1644–1911,,https://images.metmuseum.org/CRDImages/rl/mobile-large/1426-1.jpg,https://www.metmuseum.org/en/art/collection/search/460459
Censer,Chinese,19th century,,https://images.metmuseum.org/CRDImages/rl/mobile-large/1425-1.jpg,https://www.metmuseum.org/en/art/collection/search/460812
"Jar, Jun ware",Chinese,ca. 13th century,,https://images.metmuseum.org/CRDImages/rl/mobile-large/1666-1.jpg,https://www.metmuseum.org/en/art/collection/search/460659
Small covered wine pot or teapot,Chinese,1662–1722,,https://images.metmuseum.org/CRDImages/rl/mobile-large/SLP1710_1711_1712-3.jpg,https://www.metmuseum.org/en/art/collection/search/460667
Small covered winepot or teapot,Chinese,1662–1722,,https://images.metmuseum.org/CRDImages/rl/mobile-large/SLP1710_1711_1712-3.jpg,https://www.metmuseum.org/en/art/collection/search/460931
Small vase,Chinese,probably 19th century,"This vase forms a pair with another in the Robert Lehman Collection (1975.1.1688), which rather clumsily follows the archaic bronze zun shape. The pieces are covered with a deep red glaze that shades to white at the bottom. Both mouths have been cut, and they are bound with metal rims.",https://images.metmuseum.org/CRDImages/rl/mobile-large/SLP1688_1689-1.jpg,https://www.metmuseum.org/en/art/collection/search/460575
"Small bowl, Jun ware",Chinese,13th–14th century,,https://images.metmuseum.org/CRDImages/rl/mobile-large/1674-1.jpg,https://www.metmuseum.org/en/art/collection/search/460656
Small bottle-shaped vase,Chinese,probably 18th century,,https://images.metmuseum.org/CRDImages/rl/mobile-large/SLP1725-1.jpg,https://www.metmuseum.org/en/art/collection/search/460676
Small vase,Chinese,probably 19th century,"This vase forms a pair with another in the Robert Lehman Collection (1975.1.1689), which rather clumsily follows the archaic bronze zun shape. The pieces are covered with a deep red glaze that shades to white at the bottom. Both mouths have been cut, and they are bound with metal rims.",https://images.metmuseum.org/CRDImages/rl/mobile-large/SLP1688_1689-1.jpg,https://www.metmuseum.org/en/art/collection/search/461339
Small vase,Chinese,probably late 18th century,,https://images.metmuseum.org/CRDImages/rl/mobile-large/1691-1.jpg,https://www.metmuseum.org/en/art/collection/search/461497
Small ewer,Chinese,1662–1722,,https://images.metmuseum.org/CRDImages/rl/mobile-large/1746-1.jpg,https://www.metmuseum.org/en/art/collection/search/460665
Small covered wine pot or teapot,Chinese,1662–1722,,https://images.metmuseum.org/CRDImages/rl/mobile-large/1698-2.jpg,https://www.metmuseum.org/en/art/collection/search/460671
Small vase,Chinese,18th century,,https://images.metmuseum.org/CRDImages/rl/mobile-large/1742-1.jpg,https://www.metmuseum.org/en/art/collection/search/460675
Tazza,Chinese,1662–1722,,https://images.metmuseum.org/CRDImages/rl/mobile-large/1679-1.jpg,https://www.metmuseum.org/en/art/collection/search/461219
"Pyriform vase, possibly an imitation of Song Guan ware",Chinese,16th–17th century,,https://images.metmuseum.org/CRDImages/rl/mobile-large/1667-1.jpg,https://www.metmuseum.org/en/art/collection/search/460664
Figure of lion mounted as lamp,Chinese,probably 19th century,"This Buddhist lion mounted as a lamp forms a pair with another in the Lehman Collection (1975.1.1728). The lions sit on high plinths, which have a removable drawer. The animals — 1975.1.1728 is the female with her cub, and 1975.1.1729 is the male with his traditional brocaded ball — are decorated in green, yellow, and white glazes. They are fairly well modeled and display a certain amount of animation. The condition is good, except for repairs to the ears in both pieces.",https://images.metmuseum.org/CRDImages/rl/mobile-large/SLP1729-1 _2.jpg,https://www.metmuseum.org/en/art/collection/search/460927
Censer,Chinese,ca. 18th century,,https://images.metmuseum.org/CRDImages/rl/mobile-large/1427-1.jpg,https://www.metmuseum.org/en/art/collection/search/460460
Small covered vase,Chinese,ca. late 18th century,,https://images.metmuseum.org/CRDImages/rl/mobile-large/1726-1.jpg,https://www.metmuseum.org/en/art/collection/search/460678
Water coupe,Chinese,18th century,,https://images.metmuseum.org/CRDImages/rl/mobile-large/1744-3.jpg,https://www.metmuseum.org/en/art/collection/search/460674
Fabric,Chinese,18th–19th century,,https://images.metmuseum.org/CRDImages/rl/mobile-large/DP265192.jpg,https://www.metmuseum.org/en/art/collection/search/461250
Small vase,Chinese,1662–1722,,https://images.metmuseum.org/CRDImages/rl/mobile-large/SLP1737-1.jpg,https://www.metmuseum.org/en/art/collection/search/460673
Bird-cage cup,Chinese,1662–1722,,https://images.metmuseum.org/CRDImages/rl/mobile-large/SLP1743-2-WithLid.jpg,https://www.metmuseum.org/en/art/collection/search/461495
Small vase,Chinese,18th century,,https://images.metmuseum.org/CRDImages/rl/mobile-large/1692-1.jpg,https://www.metmuseum.org/en/art/collection/search/461222
Small covered wine pot or teapot,Chinese,1662–1722,,https://images.metmuseum.org/CRDImages/rl/mobile-large/1735_35tif.jpg,https://www.metmuseum.org/en/art/collection/search/460682
Small vase,Chinese,probably 19th century,,https://images.metmuseum.org/CRDImages/rl/mobile-large/1723-1.jpg,https://www.metmuseum.org/en/art/collection/search/461501
"Deep bowl, Jun ware",Chinese,ca. 13th century,,https://images.metmuseum.org/CRDImages/rl/mobile-large/1675-1.jpg,https://www.metmuseum.org/en/art/collection/search/460654
Small wine pot or teapot with a lid,Chinese,1662–1722,,https://images.metmuseum.org/CRDImages/rl/mobile-large/SLP1709-1.jpg,https://www.metmuseum.org/en/art/collection/search/460668
Bottom of a vase,Chinese,1662–1722,,https://images.metmuseum.org/CRDImages/rl/mobile-large/1682-1.jpg,https://www.metmuseum.org/en/art/collection/search/460693
Large dish,Chinese,19th century,,https://images.metmuseum.org/CRDImages/rl/mobile-large/SLP1662-1.jpg,https://www.metmuseum.org/en/art/collection/search/460690
Small covered wine pot or teapot,Chinese,1662–1722,,https://images.metmuseum.org/CRDImages/rl/mobile-large/SLP1718-1.jpg,https://www.metmuseum.org/en/art/collection/search/460672
Small covered wine pot or teapot,Chinese,1662–1722,,https://images.metmuseum.org/CRDImages/rl/mobile-large/1730-3.jpg,https://www.metmuseum.org/en/art/collection/search/461214
"Foliate-rim plate, Jun ware",Chinese,ca. 13th century,,https://images.metmuseum.org/CRDImages/rl/mobile-large/SLP1658-1.jpg,https://www.metmuseum.org/en/art/collection/search/461209
Bowl,Chinese,18th century,,https://images.metmuseum.org/CRDImages/rl/mobile-large/1680-1.jpg,https://www.metmuseum.org/en/art/collection/search/460691
Bowl,Chinese,18th century,,https://images.metmuseum.org/CRDImages/rl/mobile-large/1681-1.jpg,https://www.metmuseum.org/en/art/collection/search/460692
"Quatrefoil vase, Jun ware",Chinese,possibly 18th century,,https://images.metmuseum.org/CRDImages/rl/mobile-large/1668-1.jpg,https://www.metmuseum.org/en/art/collection/search/461210
Small covered wine pot or teapot,Chinese,1662–1722,,https://images.metmuseum.org/CRDImages/rl/mobile-large/SLP1731-1.jpg,https://www.metmuseum.org/en/art/collection/search/461215
"Two-eared jar, Jun ware",Chinese,ca. 13th century,,https://images.metmuseum.org/CRDImages/rl/mobile-large/1663-1.jpg,https://www.metmuseum.org/en/art/collection/search/461493
Vase: Qingbai Shufu-type ware (pair with 1975.1.1670),Chinese,14th century,,https://images.metmuseum.org/CRDImages/rl/mobile-large/SLP1669L_1670R-1.jpg,https://www.metmuseum.org/en/art/collection/search/461494
Vase: Qingbai Shufu-type ware (pair with 1975.1.1669),Chinese,14th century,,https://images.metmuseum.org/CRDImages/rl/mobile-large/SLP1669L_1670R-1.jpg,https://www.metmuseum.org/en/art/collection/search/461242
Censer,Chinese,19th to early 20th century,,https://images.metmuseum.org/CRDImages/rl/mobile-large/1428-1.jpg,https://www.metmuseum.org/en/art/collection/search/460557
Amphora vase,Chinese,1662–1722,,https://images.metmuseum.org/CRDImages/rl/mobile-large/1683_18.jpg,https://www.metmuseum.org/en/art/collection/search/460900
Water pot,Chinese,1662–1722,,https://images.metmuseum.org/CRDImages/rl/mobile-large/1690_20 composite retouch_Original.jpg,https://www.metmuseum.org/en/art/collection/search/460689
Covered ewer,Chinese,probably 19th century,,https://images.metmuseum.org/CRDImages/rl/mobile-large/1677-1.jpg,https://www.metmuseum.org/en/art/collection/search/461338
"Plate, Jun ware",Chinese,13th–14th century,,https://images.metmuseum.org/CRDImages/rl/mobile-large/1659-2.jpg,https://www.metmuseum.org/en/art/collection/search/460658
"Plate, Jun ware",Chinese,12th–13th century,,https://images.metmuseum.org/CRDImages/rl/mobile-large/1661_14.jpg,https://www.metmuseum.org/en/art/collection/search/460657
Small covered wine pot or teapot,Chinese,1662–1722,,https://images.metmuseum.org/CRDImages/rl/mobile-large/1720-2.jpg,https://www.metmuseum.org/en/art/collection/search/461221
Small vase,Chinese,19th century,,https://images.metmuseum.org/CRDImages/rl/mobile-large/1738-1.jpg,https://www.metmuseum.org/en/art/collection/search/460679
"Shallow dish, Jun-type ware",Chinese,late 14th to early 15th century,,https://images.metmuseum.org/CRDImages/rl/mobile-large/1660-1.jpg,https://www.metmuseum.org/en/art/collection/search/461211
"Two-eared jar, Jun ware",Chinese,ca. 13th century,,https://images.metmuseum.org/CRDImages/rl/mobile-large/1665-1.jpg,https://www.metmuseum.org/en/art/collection/search/460660
"Shallow dish, Jun ware",Chinese,11th–12th century,,https://images.metmuseum.org/CRDImages/rl/mobile-large/1650-1.jpg,https://www.metmuseum.org/en/art/collection/search/461208
"Deep bowl, Jun ware",Chinese,13th–14th century,,https://images.metmuseum.org/CRDImages/rl/mobile-large/1654-1.jpg,https://www.metmuseum.org/en/art/collection/search/461207
