藏品名称,藏品来源,年代,介绍,图片链接,详情链接
Samantabhadra Bodhisattva,Purchase: William Rockhill Nelson Trust,Yuan dynasty (1279-1368),"Figure in blue and red robe seated sideways on a brown elephant, right hand resting on knee of bent right leg.",https://art.nelson-atkins.org/internal/media/dispatcher/76640/preview;jsessionid=A2D0A1D12BA0AA2BA82ACFC1C7C14208,https://art.nelson-atkins.org/objects/29985/samantabhadra-bodhisattva;jsessionid=A2D0A1D12BA0AA2BA82ACFC1C7C14208?ctx=b088b132-d2c0-4e2c-9eb0-ff58f936e3ba&idx=10
Manjusri Bodhisattva,Purchase: William Rockhill Nelson Trust,Yuan dynasty (1279-1368),"Figure in a red robe seated sideways on a lion, with right hand raised, left leg bent. Lion painted blue",https://art.nelson-atkins.org/internal/media/dispatcher/76639/preview;jsessionid=A2D0A1D12BA0AA2BA82ACFC1C7C14208,https://art.nelson-atkins.org/objects/29155/manjusri-bodhisattva;jsessionid=A2D0A1D12BA0AA2BA82ACFC1C7C14208?ctx=b088b132-d2c0-4e2c-9eb0-ff58f936e3ba&idx=11
"Shakyamuni Buddha Attended by Bodhisattvas, Monks, and Apsaras--A Casing Slab from a Buddhist Monument",Purchase: William Rockhill Nelson Trust,early 6th century C.E.,"Art in Asia and the West, San Francisco Museum of Art,
October-December 1957.The Light of Asia: Buddha Sakyamuni
in Asian Art, Los
Angeles County Museum of Art, March 1-May 20, 1984; Art Institute of Chicago,
June 30-August 26, 1984; Brooklyn Museum of Art, November 1, 1984-February 10,
1985.",https://art.nelson-atkins.org/internal/media/dispatcher/27637/preview;jsessionid=A2D0A1D12BA0AA2BA82ACFC1C7C14208,https://art.nelson-atkins.org/objects/25957/shakyamuni-buddha-attended-by-bodhisattvas-monks-and-apsar;jsessionid=A2D0A1D12BA0AA2BA82ACFC1C7C14208?ctx=b088b132-d2c0-4e2c-9eb0-ff58f936e3ba&idx=12
"Torso of a Buddha, probably Shakyamuni Buddha",Purchase: William Rockhill Nelson Trust,575-600 C.E.,"Standing frontal figure with missing head, right hand, and feet.  Drapery is carved in relief with one end of the robe held in the left hand.",https://art.nelson-atkins.org/internal/media/dispatcher/27621/preview;jsessionid=A2D0A1D12BA0AA2BA82ACFC1C7C14208,https://art.nelson-atkins.org/objects/29200/torso-of-a-buddha-probably-shakyamuni-buddha;jsessionid=A2D0A1D12BA0AA2BA82ACFC1C7C14208?ctx=b088b132-d2c0-4e2c-9eb0-ff58f936e3ba&idx=13
Stele of Shakyamuni Buddha Attended by Guanyin Bodhisattva and Dashizhi Bodhisattva,Purchase: William Rockhill Nelson Trust,569 C.E.,"Stele with a standing figure of a Shakyamuni Buddha accompanied by Kuan-Yin and Ta-Shih-Chih bodhisattvas, carved in high relief; below them are two small seated figures in the corners; above is a pictorial scene of the stupa of Prabhutaratna borne up by an atlantean figure, heavenly beings, and dragons.  On the reverse, the top shows a seated Buddha within each of two niches, one above the other, surmounted by intertwined dragons; below that is an inscription recording the name of a priest, Tao-lin, and 200 donors.",https://art.nelson-atkins.org/internal/media/dispatcher/27620/preview;jsessionid=A2D0A1D12BA0AA2BA82ACFC1C7C14208,https://art.nelson-atkins.org/objects/26336/stele-of-shakyamuni-buddha-attended-by-guanyin-bodhisattva-a;jsessionid=A2D0A1D12BA0AA2BA82ACFC1C7C14208?ctx=b088b132-d2c0-4e2c-9eb0-ff58f936e3ba&idx=15
Verdant Mountains,Purchase: William Rockhill Nelson Trust,Song dynasty (960-1279),"Allen
Memorial Art Museum, Oberlin (OH) College. March-April 1954.Chinese Landscape Painting,Cleveland Museum of Art, November
4-December 26, 1954.Chinese Painting,Royal Ontario Museum, Toronto, May
7-June 10, 1956; National Gallery of Art, Ottawa, June 15-July 3, 1956.Oriental
Ceramic Society, Sung exhibition, Arts Council of Great Britain, June 15-July
23, 1960.Chinese Art,Smith College Museum of Art,
Northampton, Massachusetts, January 8-26, 1962.Oriental
art exhibition, Washington University, St. Louis, January 23-March 4, 1966.Man and His World,National Gallery of Canada, Ottawa
(organizer). Expo '67 (at the Fine Arts Gallery in Montreal) April 28-October
27, 1967.Eight Dynasties of Chinese Painting, Nelson-Gallery-Atkins Museum,
Kansas City, November 7, 1980 – January 4, 1981; The Cleveland Museum of Art,
February 7 – April 5, 1981; The Asia Society, December 3, 1981 – February 28,
1982; Tokyo National Museum, October 4 – November 17, 1982, no. 23.Masterpieces
of Early Chinese Painting and Calligraphy in American Collections, Shanghai
Museum, October 16, 2012- January 17, 2013, no. 2.2.Journey
through Mountains and Rivers: Chinese Landscapes Ancient and Modern, The
Nelson-Atkins Museum of Art, Kansas City, MO, February 8- April 28, 2013.",https://art.nelson-atkins.org/internal/media/dispatcher/36981/preview;jsessionid=A2D0A1D12BA0AA2BA82ACFC1C7C14208,https://art.nelson-atkins.org/objects/17247/verdant-mountains;jsessionid=A2D0A1D12BA0AA2BA82ACFC1C7C14208?ctx=b088b132-d2c0-4e2c-9eb0-ff58f936e3ba&idx=17
Travelers in Snow-Covered Mountains,Purchase: William Rockhill Nelson Trust,Five Dynasties (907-960 C.E.),Mountain landscape with large towering peak in center background.  Group of pines in center foreground; stream and waterfall at right.  Travelers on horseback and on foot.,https://art.nelson-atkins.org/internal/media/dispatcher/27571/preview;jsessionid=A2D0A1D12BA0AA2BA82ACFC1C7C14208,https://art.nelson-atkins.org/objects/20840/travelers-in-snowcovered-mountains;jsessionid=A2D0A1D12BA0AA2BA82ACFC1C7C14208?ctx=b088b132-d2c0-4e2c-9eb0-ff58f936e3ba&idx=18
One Hundred Cranes Imperial Robe,Purchase: William Rockhill Nelson Trust,late 17th-early 18th century,"Bats and clouds in all over pattern in blue on brown brocade.  Embroidered with three large circles on front and back, one on each shoulder, with gold dragons.  Embroidered in satin stitch with landscape at the bottom, waves, pine trees and storks.  Body of coat embroidered in satin stitch.  Clouds and symbols of long life.  Black satin sleeves and lining are modern.",https://art.nelson-atkins.org/internal/media/dispatcher/108679/preview;jsessionid=A2D0A1D12BA0AA2BA82ACFC1C7C14208,https://art.nelson-atkins.org/objects/15701/one-hundred-cranes-imperial-robe;jsessionid=A2D0A1D12BA0AA2BA82ACFC1C7C14208?ctx=b088b132-d2c0-4e2c-9eb0-ff58f936e3ba&idx=19
The Assembly of Tejaprabha,Purchase: William Rockhill Nelson Trust,early 14th century,"Henso type with great central Buddha seated cross-legged, flanked by numerous Bodhisattvas and their individual followers.",https://art.nelson-atkins.org/internal/media/dispatcher/26446/preview;jsessionid=A2D0A1D12BA0AA2BA82ACFC1C7C14208,https://art.nelson-atkins.org/objects/14590/the-assembly-of-tejaprabha;jsessionid=A2D0A1D12BA0AA2BA82ACFC1C7C14208?ctx=b088b132-d2c0-4e2c-9eb0-ff58f936e3ba&idx=20
Illustration to the Travels of Sudhana from the Gandavyuha of the Avatamaska Sutra,Gift of Dr. Otto Burchard,14th century,"Sages and Heroes: Storytelling in Asian Art, The
Nelson-Atkins Museum of Art, Kansas City, MO, April 12, 2025–November 30, 2025,
no cat.",https://art.nelson-atkins.org/internal/media/dispatcher/34624/preview;jsessionid=A2D0A1D12BA0AA2BA82ACFC1C7C14208,https://art.nelson-atkins.org/objects/938/illustration-to-the-travels-of-sudhana-from-the-gandavyuha-o;jsessionid=A2D0A1D12BA0AA2BA82ACFC1C7C14208?ctx=b088b132-d2c0-4e2c-9eb0-ff58f936e3ba&idx=21
The Transformations of Laojun,Purchase: William Rockhill Nelson Trust,12th century,"Oriental
art exhibition, Washington University, St. Louis, January 23-March 4, 1966.Eight Dynasties of Chinese Painting, Nelson-Gallery-Atkins Museum,
Kansas City, November 7, 1980 – January 4, 1981; The Cleveland Museum of Art,
February 7 – April 5, 1981; The Asia Society, December 3, 1981 – February 28,
1982; Tokyo National Museum, October 4 – November 17, 1982, no. 18.Taoism and the Arts
of China,
The Art Institute of Chicago, Chicago, Illinois, November 11, 2000- January 7,
2001. Asian Art Museum of San Francisco, February 21- May 13, 2001,no. 35.La voie du Tao, Galeries nationales
du Grand Palais, Paris, France, March 29, 2010- July 5, 2010.no.
21.The
Sacred Tripod: Buddhism, Confucianism & Daoism in Harmony, The
Nelson-Atkins Museum of Art, Kansas City, February 19- August 14, 2011.Sages and Heroes: Storytelling in Asian Art, The
Nelson-Atkins Museum of Art, Kansas City, MO, April 12, 2025–November 30, 2025,
no cat.",https://art.nelson-atkins.org/internal/media/dispatcher/32544/preview;jsessionid=A2D0A1D12BA0AA2BA82ACFC1C7C14208,https://art.nelson-atkins.org/objects/16600/the-transformations-of-laojun;jsessionid=A2D0A1D12BA0AA2BA82ACFC1C7C14208?ctx=b088b132-d2c0-4e2c-9eb0-ff58f936e3ba&idx=22
Tray,Purchase: William Rockhill Nelson Trust,2nd century C.E.,"Four figures of seated men, a pig, a deer, a rooster, and a duck are painted in red with black outline on a white slip background.  Central motif of a crane, a fish, and some foliage in red, within a scalloped roundel.",https://art.nelson-atkins.org/internal/media/dispatcher/26466/preview;jsessionid=A2D0A1D12BA0AA2BA82ACFC1C7C14208,https://art.nelson-atkins.org/objects/16339/tray;jsessionid=A2D0A1D12BA0AA2BA82ACFC1C7C14208?ctx=b088b132-d2c0-4e2c-9eb0-ff58f936e3ba&idx=23
Bowl,Purchase: William Rockhill Nelson Trust,Song dynasty (960-1279),"One of a pair of small bowls, with a molded petal design inside, with scalloped edges, a cream glaze, and a small foot.",https://art.nelson-atkins.org/internal/media/dispatcher/52765/preview;jsessionid=481A1DFEC1DCD6C329ADCE7521D5A20C,https://art.nelson-atkins.org/objects/15924/bowl;jsessionid=481A1DFEC1DCD6C329ADCE7521D5A20C?ctx=25056540-55bb-4953-bbca-047a0061e31c&idx=24
Seated Bodhisattva,Purchase: William Rockhill Nelson Trust,ca. 750 C.E.,"Seated figure, left leg pendant, right leg bent, with foot touching left leg.  Left hand on left knee.  Wears Indian dhoti, necklace with pendant jewels, bracelet and long ribbons hanging from a headdress over the shoulders and arms.  Head is restored.",https://art.nelson-atkins.org/internal/media/dispatcher/31472/preview;jsessionid=481A1DFEC1DCD6C329ADCE7521D5A20C,https://art.nelson-atkins.org/objects/22462/seated-bodhisattva;jsessionid=481A1DFEC1DCD6C329ADCE7521D5A20C?ctx=25056540-55bb-4953-bbca-047a0061e31c&idx=25
Inscribed Oracle Bone,Purchase: William Rockhill Nelson Trust,Shang dynasty (1500-1045 B.C.E.),"Zhang Naiji (1899-1948), Paris and New York, by 1948 [1];Acquired from Chang Nai-Chi’s estate by Arthur B. Rothwell (1906-1994), New York and Dallas, TX, 1948-October 25, 1960 [2];Acquired from Rothwell, by exchange, by The Nelson-Atkins Museum of Art, Kansas City, MO, 1960.NOTES:[1] Zhang Naiji (also known as Nai Chi Chang and N. C. Chang) was a collector and dealer who owned Tonying & Company, an antiquities shop in Paris. He emigrated to New York in 1939, where he continued to collect. Zhang worked for C. T. Loo & Company in New York, and later Oriental Fine Arts, which was owned by Arthur B. Rothwell (see note 2). In a letter to Laurence Sickman, Nelson-Atkins Director, dated November 18, 1960, Rothwell described how he came to own the oracle bones: “The inscribed bones, etc. were in the collection of my late associate, Mr. Chang Nai-Chi and were acquired by me from his estate. His death, of course, was so sudden that no provisions had been made for obtaining much of the information that was required later regarding both his personal and also the gallery collection. I am afraid I have no knowledge of the date or place of acquisition but many of his archaic jades and other pieces were obtained during his long purchasing visit to China in 1947 and again in 1948.” Nelson-Atkins Archives, RG 02 Department of Asian Art Records, box 6, folder 2.[2] Arthur B. Rothwell was born in Oldham, England in 1906 and worked as an import manager for Yangtze Trading Company during his early career. He spent several years in New York as president of Oriental Fine Arts, Inc., until 1949, when he closed the gallery and moved to Panama. By 1959, he lived in Dallas, Texas, where he was involved in the oil industry with the Cheyenne Oil Corporation. In a letter to Laurence Sickman dated October 25, 1960, Rothwell proposed an exchange in which he would trade his collection of carved bone fragments for a redundant object from the Nelson-Atkins collection. The object traded by the Nelson-Atkins was a Ting ware cup, which had been purchased by the Museum through Sickman in 1935. The newly-acquired oracle bones assumed the Ting ware cup’s accession number of 35-115. Nelson-Atkins Archives, RG 02 Department of Asian Art Records, box 6, folder 2.",,https://art.nelson-atkins.org/objects/17856/inscribed-oracle-bone;jsessionid=481A1DFEC1DCD6C329ADCE7521D5A20C?ctx=25056540-55bb-4953-bbca-047a0061e31c&idx=43
Lady's Coat Panel,Purchase: William Rockhill Nelson Trust,early 18th century,"Gold panel that hangs in the front opening of the lady's coat.  Gold central panel decorated with flowers and phoenixes, bordered with a floral pattern on a black background.",https://art.nelson-atkins.org/internal/media/dispatcher/119010/preview;jsessionid=481A1DFEC1DCD6C329ADCE7521D5A20C,https://art.nelson-atkins.org/objects/8192/ladys-coat-panel;jsessionid=481A1DFEC1DCD6C329ADCE7521D5A20C?ctx=25056540-55bb-4953-bbca-047a0061e31c&idx=44
Corner Bracket or Table Support in Animal Form,Purchase: William Rockhill Nelson Trust,2nd century B.C.E.,"Table leg or bracket with a motif of two lions meeting in the corner, with a common head.  Red gilding and green patina.",https://art.nelson-atkins.org/internal/media/dispatcher/26456/preview;jsessionid=481A1DFEC1DCD6C329ADCE7521D5A20C,https://art.nelson-atkins.org/objects/8636/corner-bracket-or-table-support-in-animal-form;jsessionid=481A1DFEC1DCD6C329ADCE7521D5A20C?ctx=25056540-55bb-4953-bbca-047a0061e31c&idx=45
Pheasant,Purchase: William Rockhill Nelson Trust,Qing dynasty (1644-1911),Pheasant standing on one leg in a rocky landscape.  Black monochrome.,https://art.nelson-atkins.org/internal/media/dispatcher/152986/preview;jsessionid=481A1DFEC1DCD6C329ADCE7521D5A20C,https://art.nelson-atkins.org/objects/8671/pheasant;jsessionid=481A1DFEC1DCD6C329ADCE7521D5A20C?ctx=25056540-55bb-4953-bbca-047a0061e31c&idx=46
Inscribed Oracle Bone,Purchase: William Rockhill Nelson Trust,Shang dynasty (1500-1045 B.C.E.),"Zhang Naiji (1899-1948), Paris and New York, by 1948 [1];Acquired from Chang Nai-Chi’s estate by Arthur B. Rothwell (1906-1994), New York and Dallas, TX, 1948-October 25, 1960 [2];Acquired from Rothwell, by exchange, by The Nelson-Atkins Museum of Art, Kansas City, MO, 1960.NOTES:[1] Zhang Naiji (also known as Nai Chi Chang and N. C. Chang) was a collector and dealer who owned Tonying & Company, an antiquities shop in Paris. He emigrated to New York in 1939, where he continued to collect. Zhang worked for C. T. Loo & Company in New York, and later Oriental Fine Arts, which was owned by Arthur B. Rothwell (see note 2). In a letter to Laurence Sickman, Nelson-Atkins Director, dated November 18, 1960, Rothwell described how he came to own the oracle bones: “The inscribed bones, etc. were in the collection of my late associate, Mr. Chang Nai-Chi and were acquired by me from his estate. His death, of course, was so sudden that no provisions had been made for obtaining much of the information that was required later regarding both his personal and also the gallery collection. I am afraid I have no knowledge of the date or place of acquisition but many of his archaic jades and other pieces were obtained during his long purchasing visit to China in 1947 and again in 1948.” Nelson-Atkins Archives, RG 02 Department of Asian Art Records, box 6, folder 2.[2] Arthur B. Rothwell was born in Oldham, England in 1906 and worked as an import manager for Yangtze Trading Company during his early career. He spent several years in New York as president of Oriental Fine Arts, Inc., until 1949, when he closed the gallery and moved to Panama. By 1959, he lived in Dallas, Texas, where he was involved in the oil industry with the Cheyenne Oil Corporation. In a letter to Laurence Sickman dated October 25, 1960, Rothwell proposed an exchange in which he would trade his collection of carved bone fragments for a redundant object from the Nelson-Atkins collection. The object traded by the Nelson-Atkins was a Ting ware cup, which had been purchased by the Museum through Sickman in 1935. The newly-acquired oracle bones assumed the Ting ware cup’s accession number of 35-115. Nelson-Atkins Archives, RG 02 Department of Asian Art Records, box 6, folder 2.",,https://art.nelson-atkins.org/objects/9606/inscribed-oracle-bone;jsessionid=481A1DFEC1DCD6C329ADCE7521D5A20C?ctx=25056540-55bb-4953-bbca-047a0061e31c&idx=47
Gamester or Storyteller,Purchase: William Rockhill Nelson Trust,Eastern Han dynasty (25-220 C.E.),"Figure of a man kneeling, dressed in a flowing robe with wide sleeves, and a cylindrical headdress.  Hands extended as if clapping.",https://art.nelson-atkins.org/internal/media/dispatcher/32686/preview;jsessionid=84FB6C9C6B4078A7B1CC0DAFD209109D,https://art.nelson-atkins.org/objects/9434/gamester-or-storyteller;jsessionid=84FB6C9C6B4078A7B1CC0DAFD209109D?ctx=955d8c3e-6b75-4460-93a1-42b48613cb93&idx=48
Dog,Purchase: William Rockhill Nelson Trust,Han dynasty (206 B.C.E.-220 C.E.),"Gray ceramic figure of a reclining dog with its head turned over its right paw, with a bushy tail spread out behind it.",https://art.nelson-atkins.org/internal/media/dispatcher/51071/preview;jsessionid=84FB6C9C6B4078A7B1CC0DAFD209109D,https://art.nelson-atkins.org/objects/9497/dog;jsessionid=84FB6C9C6B4078A7B1CC0DAFD209109D?ctx=955d8c3e-6b75-4460-93a1-42b48613cb93&idx=49
Warrior,Purchase: William Rockhill Nelson Trust,Northern Wei dynasty (386-584 C.E.),"Warrior figure dressed in leather armour, with wide leather trousers gathered at the knee, a small cap and ribbons, and a skirt with a pressed geometric design.  The face has a full beard and the figure has a flat back.  The face has a dramatic expression with raised eyebrows, head turned slightly to the figure's left, and holding a shield with incised lines in his left hand.  Unglazed, with traces of polychrome.",https://art.nelson-atkins.org/internal/media/dispatcher/34946/preview;jsessionid=84FB6C9C6B4078A7B1CC0DAFD209109D,https://art.nelson-atkins.org/objects/10074/warrior;jsessionid=84FB6C9C6B4078A7B1CC0DAFD209109D?ctx=955d8c3e-6b75-4460-93a1-42b48613cb93&idx=50
Central Asian Falconer,Purchase: William Rockhill Nelson Trust,7th century C.E.,Tomb figure of a falconer. standing and wears conical headdress. Unglazed pottery with traces of polychrome.,https://art.nelson-atkins.org/internal/media/dispatcher/32681/preview;jsessionid=84FB6C9C6B4078A7B1CC0DAFD209109D,https://art.nelson-atkins.org/objects/10163/central-asian-falconer;jsessionid=84FB6C9C6B4078A7B1CC0DAFD209109D?ctx=955d8c3e-6b75-4460-93a1-42b48613cb93&idx=51
Bowl,Purchase: William Rockhill Nelson Trust,Song dynasty (960-1279),"Bowl with a wide flaring lip and small, narrow foot.  Buff body, thick light-blue, even glaze.  ""Earthworm"" marks on the interior.",https://art.nelson-atkins.org/internal/media/dispatcher/52767/preview;jsessionid=84FB6C9C6B4078A7B1CC0DAFD209109D,https://art.nelson-atkins.org/objects/10277/bowl;jsessionid=84FB6C9C6B4078A7B1CC0DAFD209109D?ctx=955d8c3e-6b75-4460-93a1-42b48613cb93&idx=52
Whiling Away the Summer,Purchase: William Rockhill Nelson Trust,Yuan dynasty (1279-1368),"Chinese Art Under the Mongols,Yale University Art Gallery,
1968-1969. Traveled to Albright-Knox Gallery, Buffalo, New York; Cleveland
Museum of Art, October 1-November 24, 1968; Asia House Gallery, New York.Eight Dynasties of Chinese Painting, Nelson-Gallery-Atkins Museum,
Kansas City, November 7, 1980 – January 4, 1981; The Cleveland Museum of Art,
February 7 – April 5, 1981; The Asia Society, December 3, 1981 – February 28,
1982; Tokyo National Museum, October 4 – November 17, 1982, no. 92.Senses and Sensibilities in Chinese
Painting, The
Nelson-Atkins Museum of Art, December 14, 2008- February 15, 2009.The World of Khubilai
Khan: Chinese Art in the Yuan Dynasty,Metropolitan Museum of Art, September 20, 2010- Janurary 2,
2001, no. 234.Masterpieces
of Early Chinese Painting and Calligraphy in American Collections, Shanghai
Museum, October 16, 2012- January 17, 2013, no. 23.1.",https://art.nelson-atkins.org/internal/media/dispatcher/26305/preview;jsessionid=84FB6C9C6B4078A7B1CC0DAFD209109D,https://art.nelson-atkins.org/objects/10336/whiling-away-the-summer;jsessionid=84FB6C9C6B4078A7B1CC0DAFD209109D?ctx=955d8c3e-6b75-4460-93a1-42b48613cb93&idx=53
Three-storied Watchtower,Purchase: William Rockhill Nelson Trust,Eastern Han dynasty (25-220 C.E.),"Three story tower with large overhanging eaves above each story, with decorative quatrefoils on corners of eaves.  Three figures stand on the porch of each story.  Tower made in three separate parts placed on top of one another.",https://art.nelson-atkins.org/internal/media/dispatcher/26463/preview;jsessionid=84FB6C9C6B4078A7B1CC0DAFD209109D,https://art.nelson-atkins.org/objects/10019/threestoried-watchtower;jsessionid=84FB6C9C6B4078A7B1CC0DAFD209109D?ctx=955d8c3e-6b75-4460-93a1-42b48613cb93&idx=55
"Ceiling Panels, China, Beijing, Zhihua Temple",Purchase: William Rockhill Nelson Trust,Qing dynasty (1644-1911),Carved cypress wood with gold leaf; dragon design carved in relief,https://art.nelson-atkins.org/internal/media/dispatcher/64725/preview;jsessionid=84FB6C9C6B4078A7B1CC0DAFD209109D,https://art.nelson-atkins.org/objects/9221/ceiling-panels-china-beijing-zhihua-temple;jsessionid=84FB6C9C6B4078A7B1CC0DAFD209109D?ctx=955d8c3e-6b75-4460-93a1-42b48613cb93&idx=56
Standing Guanyin Bodhisattva,Purchase: William Rockhill Nelson Trust,Northern Zhou dynasty (557-581 C.E.),"Gods of Asia, Asia House Gallery, New York, May
1-July 1, 1962.Exhibition, Joslyn Art Museum, Omaha, NE.
February 23-March 29, 1964, no. 72.Oriental art exhibition, Washington University, St. Louis,
January 23-March 4, 1966.",https://art.nelson-atkins.org/internal/media/dispatcher/27641/preview;jsessionid=84FB6C9C6B4078A7B1CC0DAFD209109D,https://art.nelson-atkins.org/objects/11255/standing-guanyin-bodhisattva;jsessionid=84FB6C9C6B4078A7B1CC0DAFD209109D?ctx=955d8c3e-6b75-4460-93a1-42b48613cb93&idx=57
Dog,Purchase: William Rockhill Nelson Trust,Han dynasty (206 B.C.E.-220 C.E.),"Gray ceramic figure of a reclining dog with its head turned over its left paw, with a bushy tail spread out behind it.  Traces of red and white pigment.",https://art.nelson-atkins.org/internal/media/dispatcher/51073/preview;jsessionid=84FB6C9C6B4078A7B1CC0DAFD209109D,https://art.nelson-atkins.org/objects/12081/dog;jsessionid=84FB6C9C6B4078A7B1CC0DAFD209109D?ctx=955d8c3e-6b75-4460-93a1-42b48613cb93&idx=58
Waiting for the Ferry in the Chilly Mountains,Purchase: William Rockhill Nelson Trust,18th century,"High mountain rising above a lake with fishermen and a pavilion by the shore, in the foreground; in the middle distance, a temple compound is situated near the edge of the cliff high among the clouds.",https://art.nelson-atkins.org/internal/media/dispatcher/79148/preview;jsessionid=84FB6C9C6B4078A7B1CC0DAFD209109D,https://art.nelson-atkins.org/objects/13744/waiting-for-the-ferry-in-the-chilly-mountains;jsessionid=84FB6C9C6B4078A7B1CC0DAFD209109D?ctx=955d8c3e-6b75-4460-93a1-42b48613cb93&idx=59
