主体,关系,对象
Saucer,作者,Chinese
Plate,作者,Chinese
Plate,作者,Chinese
Plate,作者,Chinese
Plate,作者,Chinese
Plate,作者,Chinese
Plate,作者,Chinese
Plate,作者,Chinese
Saucer,作者,Chinese
Plate,作者,Chinese
Plate,作者,Chinese
Plate,作者,Chinese
Plate,作者,Chinese
Meat_Platter,作者,Chinese
Jardiniere,作者,Chinese
Bowl,作者,Chinese
Jardiniere,作者,Chinese
Hot_Water_Plate,作者,Chinese
Jardiniere,作者,Chinese
Dish,作者,Chinese
Plate,作者,Chinese
Dish,作者,Chinese
Flower_Pot,作者,Chinese
Flower_Pot,作者,Chinese
Dish,作者,Chinese
Creamer,作者,Chinese
Cup,作者,Chinese
Covered_Vase,作者,Chinese
Covered_Vase,作者,Chinese
Cup,作者,Chinese
Jardiniere,作者,Chinese
Platter,作者,Chinese
Bowl,作者,Chinese
Vase,作者,Chinese
Creamer,作者,Chinese
Teapot,作者,Chinese
Bowl,作者,Chinese
Candlestick,作者,Chinese
Candlestick,作者,Chinese
Candlestick,作者,Chinese
Bowl,作者,Chinese
Jardiniere,作者,Chinese
Bowl,作者,Chinese
Jardiniere,作者,Chinese
Saucer,作者,Chinese
Cup,作者,Chinese
Cup,作者,Chinese
Saucer,作者,Chinese
Basin,作者,Chinese
Slop_Bowl,作者,Chinese
Soup_Plate,作者,Chinese
Portrait_of_Houqua,作者,Tingqua
Soup_Plate,作者,Chinese
Soup_Dish,作者,Chinese
Plate,作者,Chinese
Soup_Plate,作者,Chinese
Soup_Plate,作者,Chinese
Soup_Plate,作者,Chinese
Soup_Plate,作者,Chinese
Soup_Plate,作者,Chinese
Tea_Caddy,作者,Chinese
Soup_Plate,作者,Chinese
Soup_Plate,作者,Chinese
Soup_Plate,作者,Chinese
Soup_Plate,作者,Chinese
Tea_Caddy,作者,Chinese
Teapot,作者,Chinese
Teapot,作者,Chinese
Hot_Water_Plate,作者,Chinese
Hot_Water_Plate,作者,Chinese
Hot_Water_Plate,作者,Chinese
Hot_Water_Plate,作者,Chinese
Covered_Hot_Water_Platter,作者,Chinese
Hot_Water_Plate,作者,Chinese
Cup_and_Saucer,作者,Chinese
Coffeepot,作者,Chinese
Cream_Pitcher,作者,Chinese
Sugar_Bowl,作者,Chinese
Cup_and_Saucer,作者,Chinese
Covered_Urn,作者,Chinese
Baluster_Vase,作者,Chinese
Teapot,作者,Chinese
Tea_Caddy,作者,Chinese
Platter_and_Rack,作者,Chinese
Vase,作者,Chinese
Teapot,作者,Chinese
Teapot,作者,Chinese
Soup_Tureen,作者,Chinese
Coffee_Cup,作者,Chinese
Covered_Vase,作者,Chinese
Coffeepot,作者,Chinese
Covered_Vase,作者,Chinese
Covered_Sugar_Bowl,作者,Chinese
Covered_Sugar_Bowl,作者,Chinese
Covered_Vase,作者,Chinese
Covered_Vase,作者,Chinese
Cream_Pitcher,作者,Chinese
Covered_Vase,作者,Chinese
Cream_Pitcher,作者,Chinese
Cup,作者,Chinese
Bowl,作者,Chinese
Baluster_Vase,作者,Chinese
Jardiniere,作者,Chinese
Baluster_Vase,作者,Chinese
Beaker_Vase,作者,Chinese
Beaker_Vase,作者,Chinese
Covered_Hot_Water_Platter,作者,Chinese
Bottle,作者,Chinese
Covered_Urn,作者,Chinese
Cup_and_Saucer,作者,Chinese
Saucer,作者,Chinese
Mug,作者,Chinese
Nutmeg_Grater,作者,Chinese
Cup,作者,Chinese
Tray,作者,Chinese
Monteith,作者,Chinese
Platter,作者,Chinese
Platter,作者,Chinese
Guqin_(古琴_),作者,Chinese
Cup,作者,Chinese
Zhajiao,作者,Chinese
Zhajiao_(Trumpet),作者,Chinese
Lapa_(Trumpet),作者,Chinese
Rkang-Gling,作者,Chinese
Cup,作者,Chinese
Covered_Vase,作者,Chinese
Covered_Vase,作者,Chinese
Da_Tongjiao_(Trumpet),作者,Chinese
Covered_Vase,作者,Chinese
Cup,作者,Chinese
Bowl,作者,Chinese
Bowl,作者,Chinese
Cup,作者,Chinese
Cup,作者,Chinese
Bowl,作者,Chinese
Vase,作者,Chinese
Bowl,作者,Chinese
Dish,作者,Chinese
Pipa_(琵琶_),作者,Jiu-cheng
Bowl,作者,Chinese
Dung_Chen,作者,Chinese
Vase,作者,Chinese
Hearth_Jar,作者,Chinese
Covered_Vase,作者,Chinese
Covered_Vase,作者,Chinese
Sheng_(_笙_),作者,Chinese
Covered_Vase,作者,Chinese
Pipa_(琵琶_),作者,Chinese
Xiao,作者,Chinese
Yangqin_(揚琴_),作者,"Shop_of_Refined_Tones,_Guangzhou_(Canton)"
Guanzi_(管子_),作者,Chinese
Suona_(嗩吶_),作者,Chinese
"""Xiangpu’s_Treasure""_Guqin_(古琴_)",作者,Chinese
Dizi_(笛子_),作者,Chinese
Huqin,作者,Chinese
Teapot,作者,Te_Chi
Sugar_bowl,作者,Te_Chi
"Yunluo_(雲鑼_)""Cloud_Gong""",作者,Chinese
Cream_jug,作者,Te_Chi
Sihu_(四胡_),作者,Chinese
Two-handled_tray,作者,Te_Chi
Teakettle_and_spirit_lamp_with_stand,作者,Te_Chi
Xie_Zhiliuyin,作者,Xiaoyu
Zhuangmu_Tang,作者,Qigao
Flower_Basket,作者,Ding_Family_Workshop
Flowering_Branches,作者,Yu_Xing
After_Rain,作者,Zhang_Peiyi
Xieyin_Zhiliu,作者,Nilushanren
Storm_on_the_Embankment,作者,Chen_Jinrong
Professor_Selling_his_Books,作者,Yang_Keyang
Landscape,作者,Monk_Jie
Chinese_Poem_on_Zen_Meditation,作者,Feiyin_Tongrong
Fruit_Plate,作者,Ding_Family_Workshop
Jug_with_Portuguese_arms,作者,"Chinese,_for_Portuguese_market"
Piece,作者,"Chinese,_for_French_market"
Plate,作者,"Chinese,_for_British_market"
Punch_bowl,作者,"Chinese,_for_British_market"
Length_of_painted_silk,作者,"Chinese,_possibly_Canton"
"Dish_with_IHS_monogram,_armillary_sphere,_and_Portuguese_royal_arms",作者,"Chinese,_for_Portuguese_market"
Platter,作者,Chinese
Platter,作者,Chinese
Bowl,作者,"Chinese,_for_American_market"
Platter,作者,Chinese
Bulb_pot,作者,Chinese
Saucer,作者,Chinese
Plate,作者,Chinese
Planter_with_the_Johnson_coat_of_arms,作者,"Chinese,_for_British_market"
Covered_Jug,作者,Chinese
Soup_Plate,作者,Chinese
Covered_Jug,作者,Chinese
Covered_Jug,作者,Chinese
Punch_bowl,作者,"Chinese,_for_European_market"
Covered_jug,作者,Chinese
Cup_and_Saucer,作者,Chinese
Cup_and_Saucer,作者,Chinese
Cup_and_Saucer,作者,Chinese
Cup_and_Saucer,作者,Chinese
Cup_and_Saucer,作者,Chinese
Cup_and_Saucer,作者,Chinese
Cup_and_Saucer,作者,Chinese
Cup_and_Saucer,作者,Chinese
Dagger-Ax_(Ge),作者,"Chinese,_Yan_kingdom"
Jardiniere,作者,Chinese
Jardiniere,作者,Chinese
Dish,作者,"Chinese,_for_British_market"
Dish,作者,Cornelis_Pronk
Monteith,作者,"Chinese,_for_British_market"
Dish_(part_of_a_service),作者,"Chinese,_for_Scottish_market"
Teapot_with_armorial_decoration_(part_of_a_service),作者,"Chinese,_for_British_market"
Dish_(part_of_a_service),作者,"Chinese,_for_American_market"
Platter_(part_of_a_service),作者,"Chinese,_for_American_market"
Sword_Guard,作者,Tibetan_or_Chinese
Inkstand,作者,"Chinese,_for_European_market"
Tea_caddy_with_cover_with_armorial_decoration_(part_of_a_service),作者,"Chinese,_for_British_market"
Tea_caddy_with_cover_with_armorial_decoration_(part_of_a_service),作者,"Chinese,_for_British_market"
Teapot,作者,"Chinese,_for_European_market"
Plate,作者,"Chinese,_for_British_market"
Beaker_and_saucer,作者,"Chinese,_for_European_market"
Cup_and_saucer,作者,"Chinese,_for_European_market"
Tureen_with_cover_(part_of_a_service),作者,"Chinese,_for_American_market"
"Chinese_zodiac_figure,_snake",作者,China
Calligraphy_Couplet,作者,Lianfang_Songfou
Dish,作者,"Chinese,_for_European_market"
Woman_with_a_pipe,作者,"Chinese,_for_the_European_market"
Dish,作者,"Chinese,_for_European_market"
Cymbal_Case_with_Set_of_Cymbals,作者,Chinese_(Tibetan)
Punch_bowl,作者,"Chinese,_possibly_for_British_market"
Teapot_with_portrait_of_a_woman,作者,"Chinese,_possibly_for_Dutch_market"
Saucer_(part_of_a_service),作者,"Chinese,_possibly_for_Dutch_market"
Lorgnette_Fan_with_Scene_of_Figures_in_a_Courtyard_Garden,作者,"Chinese,_for_the_European_Market"
Deep_dish_(part_of_a_service),作者,"Chinese,_possibly_for_Dutch_market"
Cup_(part_of_a_service),作者,"Chinese,_possibly_for_Dutch_market"
Cup_(part_of_a_service),作者,"Chinese,_possibly_for_Dutch_market"
The_Astor_Chinese_Garden_Court,作者,China
Teapot_with_portrait_of_a_woman_(part_of_a_service),作者,"Chinese,_possibly_for_Dutch_market"
Creamer_with_cover_(part_of_a_service),作者,"Chinese,_possibly_for_Dutch_market"
Bowl_(part_of_a_service),作者,"Chinese,_possibly_for_Dutch_market"
Saucer_(part_of_a_service),作者,"Chinese,_possibly_for_Dutch_market"
Plate,作者,Chinese_for_export
Bow_Case_and_Quiver,作者,Tibetan_or_Chinese
Plate,作者,Chinese_for_export
Dish,作者,Cornelis_Pronk
Fire-offering_ladle,作者,"Eastern_Tibet,_Derge,_for_Chinese_market"
Plate,作者,Chinese_for_export
Cymbal_Case,作者,Chinese_(Tibetan)
Platter,作者,Chinese_for_export
Plate,作者,Chinese_for_export
Plate,作者,Chinese_for_export
Punch_Bowl,作者,"Chinese,_for_American_market"
Dinner_Plate,作者,"Chinese,_for_American_market"
Plate,作者,"Chinese,_for_American_market"
Vase_from_sample_set_of_Chinese_cloisonné,作者,China
Toddy_Jug,作者,"Chinese,_for_American_market"
Plate_(one_of_a_pair),作者,"Chinese,_for_British_or_Scottish_market"
Vase_from_sample_set_of_Chinese_cloisonné,作者,China
Trackers_along_the_Jialing_River,作者,Duan_Ganqing
Vase_from_sample_set_of_Chinese_cloisonné,作者,China
Fragment_from_sample_set_of_Chinese_cloisonné,作者,China
Fragment_from_sample_set_of_Chinese_cloisonné,作者,China
Coverlet_or_Wall_Hanging,作者,"Chinese,_made_for_the_European_or_American_market"
Plate,作者,"Chinese,_for_American_market"
Fragment_from_sample_set_of_Chinese_cloisonné,作者,China
Fragment_from_sample_set_of_Chinese_cloisonné,作者,China
Fragment_from_sample_set_of_Chinese_cloisonné,作者,China
Plate,作者,"Chinese,_for_American_market"
Plate,作者,"Chinese,_for_American_market"
Fragment_from_sample_set_of_Chinese_cloisonné,作者,China
Vase_from_sample_set_of_Chinese_cloisonné,作者,China
Fragment_from_sample_set_of_Chinese_cloisonné,作者,China
Fragment_from_sample_set_of_Chinese_cloisonné,作者,China
Guqin_(古琴_),作者,Liqun_Xiong_(1965-_)
Saucer,作者,"Chinese,_for_American_market"
Punch_Bowl,作者,"Chinese,_for_American_market"
Plate,作者,"Chinese,_for_American_market"
Soup_Tureen,作者,"Chinese,_for_American_market"
Plate,作者,"Chinese,_for_American_market"
Dressing_Glass,作者,"Chinese,_for_American_market"
Platter,作者,"Chinese,_for_American_market"
Saucer,作者,"Chinese,_for_American_market"
Covered_Sauce_Tureen,作者,"Chinese,_for_American_market"
Plate,作者,"Chinese,_for_American_market"
Plate,作者,"Chinese,_for_American_market"
Plate,作者,"Chinese,_for_American_market"
Plate,作者,"Chinese,_for_American_market"
Plate,作者,"Chinese,_for_American_market"
Plate,作者,"Chinese,_for_American_market"
Plate,作者,"Chinese,_for_American_market"
Plate,作者,"Chinese,_for_American_market"
Plate,作者,"Chinese,_for_American_market"
Plate,作者,"Chinese,_for_American_market"
Plate,作者,"Chinese,_for_American_market"
Plate,作者,"Chinese,_for_American_market"
Plate,作者,"Chinese,_for_American_market"
Plate,作者,"Chinese,_for_American_market"
Plate,作者,"Chinese,_for_American_market"
Plate,作者,"Chinese,_for_American_market"
Plate,作者,"Chinese,_for_American_market"
Plate,作者,"Chinese,_for_American_market"
Plate,作者,"Chinese,_for_American_market"
Plate,作者,"Chinese,_for_American_market"
Plate,作者,"Chinese,_for_American_market"
Plate,作者,"Chinese,_for_American_market"
Plate,作者,"Chinese,_for_American_market"
Plate,作者,"Chinese,_for_American_market"
Plate,作者,"Chinese,_for_American_market"
Plate,作者,"Chinese,_for_American_market"
Plate,作者,"Chinese,_for_American_market"
Plate,作者,"Chinese,_for_American_market"
Plate,作者,"Chinese,_for_American_market"
Plate,作者,"Chinese,_for_American_market"
Plate,作者,"Chinese,_for_American_market"
Plate,作者,"Chinese,_for_American_market"
Plate,作者,"Chinese,_for_American_market"
Plate,作者,"Chinese,_for_American_market"
Plate,作者,"Chinese,_for_American_market"
Plate,作者,"Chinese,_for_American_market"
Plate,作者,"Chinese,_for_American_market"
Plate,作者,"Chinese,_for_American_market"
Plate,作者,"Chinese,_for_American_market"
Plate,作者,"Chinese,_for_American_market"
Plate,作者,"Chinese,_for_American_market"
Soup_Plate,作者,"Chinese,_for_American_market"
Plate,作者,"Chinese,_for_American_market"
Plate,作者,"Chinese,_for_American_market"
Plate,作者,"Chinese,_for_American_market"
Soup_Plate,作者,"Chinese,_for_American_market"
Tray,作者,"Chinese,_for_American_market"
Soup_Plate,作者,"Chinese,_for_American_market"
Soup_Plate,作者,"Chinese,_for_American_market"
Soup_Plate,作者,"Chinese,_for_American_market"
Soup_Plate,作者,"Chinese,_for_American_market"
Soup_Plate,作者,"Chinese,_for_American_market"
Soup_Plate,作者,"Chinese,_for_American_market"
Plate,作者,"Chinese,_for_American_market"
Soup_Plate,作者,"Chinese,_for_American_market"
Soup_Plate,作者,"Chinese,_for_American_market"
Soup_Plate,作者,"Chinese,_for_American_market"
Soup_Plate,作者,"Chinese,_for_American_market"
Soup_Plate,作者,"Chinese,_for_American_market"
Soup_Plate,作者,"Chinese,_for_American_market"
Soup_Plate,作者,"Chinese,_for_American_market"
Soup_Plate,作者,"Chinese,_for_American_market"
Soup_Plate,作者,"Chinese,_for_American_market"
Soup_Plate,作者,"Chinese,_for_American_market"
Soup_Plate,作者,"Chinese,_for_American_market"
Soup_Plate,作者,"Chinese,_for_American_market"
Soup_Plate,作者,"Chinese,_for_American_market"
Soup_Plate,作者,"Chinese,_for_American_market"
Soup_Plate,作者,"Chinese,_for_American_market"
Soup_Plate,作者,"Chinese,_for_American_market"
Covered_Platter,作者,"Chinese,_for_American_market"
Covered_Platter,作者,"Chinese,_for_American_market"
Covered_Platter,作者,"Chinese,_for_American_market"
Bread_Plate,作者,"Chinese,_for_American_market"
Bread_Plate,作者,"Chinese,_for_American_market"
Bread_Plate,作者,"Chinese,_for_American_market"
Bread_Plate,作者,"Chinese,_for_American_market"
Bread_Plate,作者,"Chinese,_for_American_market"
Bread_Plate,作者,"Chinese,_for_American_market"
Covered_Platter,作者,"Chinese,_for_American_market"
Bread_Plate,作者,"Chinese,_for_American_market"
Bread_Plate,作者,"Chinese,_for_American_market"
Bread_Plate,作者,"Chinese,_for_American_market"
Bread_Plate,作者,"Chinese,_for_American_market"
Bread_Plate,作者,"Chinese,_for_American_market"
Bread_Plate,作者,"Chinese,_for_American_market"
Bread_Plate,作者,"Chinese,_for_American_market"
Bread_Plate,作者,"Chinese,_for_American_market"
Bread_Plate,作者,"Chinese,_for_American_market"
Bread_Plate,作者,"Chinese,_for_American_market"
Bread_Plate,作者,"Chinese,_for_American_market"
Bread_Plate,作者,"Chinese,_for_American_market"
Bread_Plate,作者,"Chinese,_for_American_market"
Bread_Plate,作者,"Chinese,_for_American_market"
Bread_Plate,作者,"Chinese,_for_American_market"
Bread_Plate,作者,"Chinese,_for_American_market"
Bread_Plate,作者,"Chinese,_for_American_market"
Bread_Plate,作者,"Chinese,_for_American_market"
Bread_Plate,作者,"Chinese,_for_American_market"
Bread_Plate,作者,"Chinese,_for_American_market"
Bread_Plate,作者,"Chinese,_for_American_market"
Bowl,作者,"Chinese,_for_American_market"
Bowl,作者,"Chinese,_for_American_market"
Bowl,作者,"Chinese,_for_American_market"
Bowl,作者,"Chinese,_for_American_market"
Bowl,作者,"Chinese,_for_American_market"
Bowl,作者,"Chinese,_for_American_market"
Bowl,作者,"Chinese,_for_American_market"
Bowl,作者,"Chinese,_for_American_market"
Bowl,作者,"Chinese,_for_American_market"
Bowl,作者,"Chinese,_for_American_market"
Bowl,作者,"Chinese,_for_American_market"
Bowl,作者,"Chinese,_for_American_market"
Bowl,作者,"Chinese,_for_American_market"
Bowl,作者,"Chinese,_for_American_market"
Bowl,作者,"Chinese,_for_American_market"
Bowl,作者,"Chinese,_for_American_market"
Bowl,作者,"Chinese,_for_American_market"
Bowl,作者,"Chinese,_for_American_market"
Bowl,作者,"Chinese,_for_American_market"
Bowl,作者,"Chinese,_for_American_market"
Bowl,作者,"Chinese,_for_American_market"
Bowl,作者,"Chinese,_for_American_market"
Bowl,作者,"Chinese,_for_American_market"
Bowl,作者,"Chinese,_for_American_market"
Bowl,作者,"Chinese,_for_American_market"
Bowl,作者,"Chinese,_for_American_market"
Bowl,作者,"Chinese,_for_American_market"
Bowl,作者,"Chinese,_for_American_market"
Bowl,作者,"Chinese,_for_American_market"
Bowl,作者,"Chinese,_for_American_market"
Bowl,作者,"Chinese,_for_American_market"
Bread_Plate,作者,"Chinese,_for_American_market"
Bowl,作者,"Chinese,_for_American_market"
Bowl,作者,"Chinese,_for_American_market"
Bread_Plate,作者,"Chinese,_for_American_market"
Bowl,作者,"Chinese,_for_American_market"
Bread_Plate,作者,"Chinese,_for_American_market"
Bowl,作者,"Chinese,_for_American_market"
Bowl,作者,"Chinese,_for_American_market"
Bread_Plate,作者,"Chinese,_for_American_market"
Bowl,作者,"Chinese,_for_American_market"
Bread_Plate,作者,"Chinese,_for_American_market"
Bread_Plate,作者,"Chinese,_for_American_market"
Bread_Plate,作者,"Chinese,_for_American_market"
Bowl,作者,"Chinese,_for_American_market"
Bread_Plate,作者,"Chinese,_for_American_market"
Bread_Plate,作者,"Chinese,_for_American_market"
Cup_and_Saucer,作者,"Chinese,_for_American_market"
Cup_and_Saucer,作者,"Chinese,_for_American_market"
Cup_and_Saucer,作者,"Chinese,_for_American_market"
Cup_and_Saucer,作者,"Chinese,_for_American_market"
Cup_and_Saucer,作者,"Chinese,_for_American_market"
Cup_and_Saucer,作者,"Chinese,_for_American_market"
Custard_Cup,作者,"Chinese,_for_American_market"
Cup_and_Saucer,作者,"Chinese,_for_American_market"
Custard_Cup,作者,"Chinese,_for_American_market"
Cup_and_Saucer,作者,"Chinese,_for_American_market"
Custard_Cup,作者,"Chinese,_for_American_market"
Cup_and_Saucer,作者,"Chinese,_for_American_market"
Custard_Cup,作者,"Chinese,_for_American_market"
Custard_Cup,作者,"Chinese,_for_American_market"
Custard_Cup,作者,"Chinese,_for_American_market"
Custard_Cup,作者,"Chinese,_for_American_market"
Custard_Cup,作者,"Chinese,_for_American_market"
Custard_Cup,作者,"Chinese,_for_American_market"
Custard_Cup,作者,"Chinese,_for_American_market"
Custard_Cup,作者,"Chinese,_for_American_market"
Saucer,作者,"Chinese,_for_American_market"
Custard_Cup,作者,"Chinese,_for_American_market"
Custard_Cup,作者,"Chinese,_for_American_market"
Saucer,作者,"Chinese,_for_American_market"
Saucer,作者,"Chinese,_for_American_market"
Saucer,作者,"Chinese,_for_American_market"
Saucer,作者,"Chinese,_for_American_market"
Custard_Cup,作者,"Chinese,_for_American_market"
Saucer,作者,"Chinese,_for_American_market"
Saucer,作者,"Chinese,_for_American_market"
Saucer,作者,"Chinese,_for_American_market"
Salad_Bowl,作者,"Chinese,_for_American_market"
Saucer,作者,"Chinese,_for_American_market"
Salad_Bowl,作者,"Chinese,_for_American_market"
Platter,作者,"Chinese,_for_American_market"
Salad_Bowl,作者,"Chinese,_for_American_market"
Plate,作者,"Chinese,_for_American_market"
Platter,作者,"Chinese,_for_American_market"
Plate,作者,"Chinese,_for_American_market"
Plate,作者,"Chinese,_for_American_market"
Saucer,作者,"Chinese,_for_American_market"
Plate,作者,"Chinese,_for_American_market"
Platter,作者,"Chinese,_for_American_market"
Platter,作者,"Chinese,_for_American_market"
Platter,作者,"Chinese,_for_American_market"
Platter,作者,"Chinese,_for_American_market"
Platter,作者,"Chinese,_for_American_market"
